synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s74827,kasse,1901-1910,1911-1920,0.5185276858478045,0.07586780145006117
s74827,kasse,1911-1920,1921-1930,0.3169758375179706,0.013160614671573359
s74827,kasse,1921-1930,1931-1940,0.43945977001457515,0.0635961483037158
s74827,kasse,1931-1940,1941-1950,0.9727595314668018,0.07741559501822937
s74827,kasse,1941-1950,1951-1960,1.3215020482886886,0.41361493325794585
s74827,kasse,1951-1960,1961-1970,0.6522020706509479,0.04379854871266883
s74827,kasse,1961-1970,1971-1980,1.018911088970761,0.10344851074896211
s74827,kasse,1971-1980,1981-1990,0.18091478353337315,0.05538122507360406
s74827,kasse,1981-1990,1991-2000,0.15254571701715355,0.009822583861878833
s74827,kasse,1991-2000,2001-2010,0.32393463511623566,0.03871617052950439
