synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s13438,kurs,1901-1910,1911-1920,0.13111046894478146,0.019530722712043487
s13438,kurs,1911-1920,1921-1930,0.49507866109590176,0.2549166275712186
s13438,kurs,1921-1930,1931-1940,0.3340219475577677,0.06764739170964582
s13438,kurs,1931-1940,1941-1950,0.4765133355308524,0.05439082641465165
s13438,kurs,1941-1950,1951-1960,0.44809747744078154,0.057572229049805655
s13438,kurs,1951-1960,1961-1970,0.1392231530616106,0.04200999884696836
s13438,kurs,1961-1970,1971-1980,0.14366764025440548,0.05345799961686408
s13438,kurs,1971-1980,1981-1990,0.47554285394692175,0.23169217146440013
s13438,kurs,1981-1990,1991-2000,0.07460349658896995,0.07275892951779467
s13438,kurs,1991-2000,2001-2010,1.5904791154286717,0.7060155333670112
