,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.152,0.171,0.288,0.73,0.74,0.479,0.911,0.166,0.017,0.289,0.076
1911-1920,0.152,0.0,0.194,0.596,0.759,0.802,0.382,0.61,0.361,0.335,0.458,0.252
1921-1930,0.171,0.194,0.0,0.047,0.264,0.149,0.16,0.811,0.477,0.113,0.377,0.716
1931-1940,0.288,0.596,0.047,0.0,0.59,0.612,0.045,0.432,0.034,0.193,0.13,0.012
1941-1950,0.73,0.759,0.264,0.59,0.0,0.755,0.363,0.876,0.245,0.358,0.394,0.112
1951-1960,0.74,0.802,0.149,0.612,0.755,0.0,0.831,0.536,0.119,0.801,0.296,0.009
1961-1970,0.479,0.382,0.16,0.045,0.363,0.831,0.0,0.765,0.22,0.219,0.09,0.048
1971-1980,0.911,0.61,0.811,0.432,0.876,0.536,0.765,0.0,0.708,0.327,0.547,0.376
1981-1990,0.166,0.361,0.477,0.034,0.245,0.119,0.22,0.708,0.0,0.162,0.109,0.707
1991-2000,0.017,0.335,0.113,0.193,0.358,0.801,0.219,0.327,0.162,0.0,0.261,0.509
2001-2010,0.289,0.458,0.377,0.13,0.394,0.296,0.09,0.547,0.109,0.261,0.0,0.21
2011-2018,0.076,0.252,0.716,0.012,0.112,0.009,0.048,0.376,0.707,0.509,0.21,0.0
