,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.79,0.818,0.54,0.483,0.865,0.209,0.855,0.502,0.275,0.898,0.434
1911-1920,0.79,0.0,0.621,0.326,0.406,0.978,0.36,0.987,0.699,0.862,0.567,0.61
1921-1930,0.818,0.621,0.0,0.277,0.756,0.46,0.293,0.771,0.208,0.15,0.543,0.869
1931-1940,0.54,0.326,0.277,0.0,0.274,0.341,0.808,0.169,0.029,0.018,0.381,0.254
1941-1950,0.483,0.406,0.756,0.274,0.0,0.338,0.421,0.422,0.121,0.075,0.268,0.238
1951-1960,0.865,0.978,0.46,0.341,0.338,0.0,0.37,0.893,0.67,0.629,0.656,0.67
1961-1970,0.209,0.36,0.293,0.808,0.421,0.37,0.0,0.21,0.064,0.04,0.396,0.278
1971-1980,0.855,0.987,0.771,0.169,0.422,0.893,0.21,0.0,0.7,0.902,0.663,0.828
1981-1990,0.502,0.699,0.208,0.029,0.121,0.67,0.064,0.7,0.0,0.906,0.703,0.612
1991-2000,0.275,0.862,0.15,0.018,0.075,0.629,0.04,0.902,0.906,0.0,0.623,0.515
2001-2010,0.898,0.567,0.543,0.381,0.268,0.656,0.396,0.663,0.703,0.623,0.0,0.73
2011-2018,0.434,0.61,0.869,0.254,0.238,0.67,0.278,0.828,0.612,0.515,0.73,0.0
