synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s50922,schimmel,1901-1910,1911-1920,0.14349673639683996,0.03198524832006012
s50922,schimmel,1911-1920,1921-1930,0.18876595994960585,0.12411019456712967
s50922,schimmel,1921-1930,1931-1940,0.4932778022273316,0.16099589371049455
s50922,schimmel,1931-1940,1941-1950,0.47788870735277433,0.11443119378095389
s50922,schimmel,1941-1950,1951-1960,0.7157844047178082,0.05988337988352838
s50922,schimmel,1951-1960,1961-1970,0.4781585155883912,0.08656530168857167
s50922,schimmel,1961-1970,1971-1980,0.19289433700643943,0.036788540769340974
s50922,schimmel,1971-1980,1981-1990,1.2198206557358442,0.3352078483546907
s50922,schimmel,1981-1990,1991-2000,0.21533806800306446,0.030415584627798663
s50922,schimmel,1991-2000,2001-2010,0.2563018784368107,0.0680700382949852
