,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1901-1910,0.0,232.84785668051515,240.61139164884565,450.13476779173794,308.55536746863385,223.7309237209499,1338.3055040893607,431.6108639497263,992.8328540979462,269.5884392899819,616.918017444252
1911-1920,232.84785668051515,0.0,287.7468072695818,503.04298103329836,358.75083811225437,273.57497355084905,1379.265453340218,489.4986652544596,1041.1351472214642,322.8201431507783,661.2404610539559
1921-1930,240.61139164884565,287.7468072695818,0.0,295.49813621306544,196.57608737978364,239.4828607077656,1180.0581020711609,283.5252948723453,839.142161067413,164.20061988284255,458.68762074370164
1931-1940,450.13476779173794,503.04298103329836,295.49813621306544,0.0,217.7053082891989,434.75970679471106,928.0532380635592,103.86584071008988,579.7286117111423,255.04474140871162,230.04543391300467
1941-1950,308.55536746863385,358.75083811225437,196.57608737978364,217.7053082891989,0.0,328.84442418847806,1079.6640597708058,211.1039879835376,735.3595515449157,134.99968106984468,360.9331154308496
1951-1960,223.7309237209499,273.57497355084905,239.4828607077656,434.75970679471106,328.84442418847806,0.0,1342.4236003686876,411.01377587686835,995.6368763039801,284.5075711646674,619.8909074860362
1961-1970,1338.3055040893607,1379.265453340218,1180.0581020711609,928.0532380635592,1079.6640597708058,1342.4236003686876,0.0,955.0883537701084,370.3675429125952,1131.677231827482,744.5172495707874
1971-1980,431.6108639497263,489.4986652544596,283.5252948723453,103.86584071008988,211.1039879835376,411.01377587686835,955.0883537701084,0.0,606.7524520219193,243.90524469089985,253.52844000458842
1981-1990,992.8328540979462,1041.1351472214642,839.142161067413,579.7286117111423,735.3595515449157,995.6368763039801,370.3675429125952,606.7524520219193,0.0,784.7461676944896,412.95591172158555
2001-2010,269.5884392899819,322.8201431507783,164.20061988284255,255.04474140871162,134.99968106984468,284.5075711646674,1131.677231827482,243.90524469089985,784.7461676944896,0.0,413.68725790459314
2011-2018,616.918017444252,661.2404610539559,458.68762074370164,230.04543391300467,360.9331154308496,619.8909074860362,744.5172495707874,253.52844000458842,412.95591172158555,413.68725790459314,0.0
