,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1911-1920,0.0,449.3438806233052,479.5897163141868,502.7560794544142,481.4534788539546,387.3967460614693,392.79538698902206,381.2958861337267,449.03244769217537,512.5458663134685,588.9024585922783
1921-1930,449.3438806233052,0.0,329.274155205657,399.99811795936114,421.175320757486,358.39791609021336,303.813484682076,359.5425681754155,347.2004899172557,379.36223918205815,454.10585303952985
1931-1940,479.5897163141868,329.274155205657,0.0,317.0675378952036,355.3283620892708,373.1502333693541,242.61567107735704,399.70925579196205,278.16121907265165,286.59315979376856,371.9415793272053
1941-1950,502.7560794544142,399.99811795936114,317.0675378952036,0.0,437.217764963445,401.56466156488455,306.85384221095296,420.16269247866114,347.95521519790367,363.3353218095675,438.02447705911254
1951-1960,481.4534788539546,421.175320757486,355.3283620892708,437.217764963445,0.0,393.195751722608,329.1472675037049,405.17621275078056,365.62922401169163,401.85854760189534,475.6175171470525
1961-1970,387.3967460614693,358.39791609021336,373.1502333693541,401.56466156488455,393.195751722608,0.0,279.8365669088018,323.34059499633787,351.67763966827744,403.61840838552337,491.0348595392798
1971-1980,392.79538698902206,303.813484682076,242.61567107735704,306.85384221095296,329.1472675037049,279.8365669088018,0.0,306.03454172430975,254.2393009011305,301.852780428773,393.0343155264154
1981-1990,381.2958861337267,359.5425681754155,399.70925579196205,420.16269247866114,405.17621275078056,323.34059499633787,306.03454172430975,0.0,358.5697925931277,422.95816080243117,500.77517546092724
1991-2000,449.03244769217537,347.2004899172557,278.16121907265165,347.95521519790367,365.62922401169163,351.67763966827744,254.2393009011305,358.5697925931277,0.0,134.5678218943265,202.61613000175942
2001-2010,512.5458663134685,379.36223918205815,286.59315979376856,363.3353218095675,401.85854760189534,403.61840838552337,301.852780428773,422.95816080243117,134.5678218943265,0.0,139.58146943642114
2011-2018,588.9024585922783,454.10585303952985,371.9415793272053,438.02447705911254,475.6175171470525,491.0348595392798,393.0343155264154,500.77517546092724,202.61613000175942,139.58146943642114,0.0
