,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1911-1920,0.0,0.249,0.003,0.062,0.138,0.512,0.046,0.605,0.204,0.141,0.187
1921-1930,0.249,0.0,0.172,0.388,0.429,0.56,0.389,0.622,0.511,0.45,0.555
1931-1940,0.003,0.172,0.0,0.255,0.25,0.011,0.147,0.014,0.694,0.929,0.941
1941-1950,0.062,0.388,0.255,0.0,0.158,0.259,0.563,0.161,0.627,0.752,0.735
1951-1960,0.138,0.429,0.25,0.158,0.0,0.701,0.675,0.544,0.712,0.64,0.627
1961-1970,0.512,0.56,0.011,0.259,0.701,0.0,0.391,0.793,0.339,0.279,0.33
1971-1980,0.046,0.389,0.147,0.563,0.675,0.391,0.0,0.19,0.874,0.745,0.792
1981-1990,0.605,0.622,0.014,0.161,0.544,0.793,0.19,0.0,0.369,0.228,0.3
1991-2000,0.204,0.511,0.694,0.627,0.712,0.339,0.874,0.369,0.0,0.662,0.616
2001-2010,0.141,0.45,0.929,0.752,0.64,0.279,0.745,0.228,0.662,0.0,0.786
2011-2018,0.187,0.555,0.941,0.735,0.627,0.33,0.792,0.3,0.616,0.786,0.0
