,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,371.793883551049,442.64098666700994,964.3586813914741,384.38835117543726,443.4080396408595,447.76992746446257,336.5061522252593,403.79380103881357,266.37263085657617,559.0393114829961,332.2584989262005
1911-1920,371.793883551049,0.0,362.7928106718886,915.2226784272722,382.8641241677488,433.5352198580552,424.35297898675753,433.26093790799575,440.0561982509449,339.2998219966581,475.326286175786,312.58538291796566
1921-1930,442.64098666700994,362.7928106718886,0.0,913.2936506391769,445.21125640967347,460.2421358418885,434.0145078819556,502.8687521941911,512.5980333654198,422.4149606548225,474.7391045053351,346.4658217498024
1931-1940,964.3586813914741,915.2226784272722,913.2936506391769,0.0,945.793130296912,866.237965460429,945.2859534725089,968.4647900363653,981.6722147088766,950.2242030862911,544.5312268349971,875.5446382997516
1941-1950,384.38835117543726,382.8641241677488,445.21125640967347,945.793130296912,0.0,468.6909760626335,461.17849778496475,420.28204558577136,455.7778929886071,354.0482401952518,547.1552085291695,362.6969221591116
1951-1960,443.4080396408595,433.5352198580552,460.2421358418885,866.237965460429,468.6909760626335,0.0,462.1581694411454,452.5908354044339,522.4429461780239,408.66115403321936,440.0510331815876,299.43693295300557
1961-1970,447.76992746446257,424.35297898675753,434.0145078819556,945.2859534725089,461.17849778496475,462.1581694411454,0.0,472.5751711535604,503.82817713824204,398.16168266212395,517.460107899396,365.6354623401199
1971-1980,336.5061522252593,433.26093790799575,502.8687521941911,968.4647900363653,420.28204558577136,452.5908354044339,472.5751711535604,0.0,416.5914959361891,287.806991920083,582.7161051807045,365.92353044460816
1981-1990,403.79380103881357,440.0561982509449,512.5980333654198,981.6722147088766,455.7778929886071,522.4429461780239,503.82817713824204,416.5914959361891,0.0,352.89706019475693,611.5945192136971,404.1208232393717
1991-2000,266.37263085657617,339.2998219966581,422.4149606548225,950.2242030862911,354.0482401952518,408.66115403321936,398.16168266212395,287.806991920083,352.89706019475693,0.0,532.5377243449566,274.3766273061269
2001-2010,559.0393114829961,475.326286175786,474.7391045053351,544.5312268349971,547.1552085291695,440.0510331815876,517.460107899396,582.7161051807045,611.5945192136971,532.5377243449566,0.0,419.19921866007724
2011-2018,332.2584989262005,312.58538291796566,346.4658217498024,875.5446382997516,362.6969221591116,299.43693295300557,365.6354623401199,365.92353044460816,404.1208232393717,274.3766273061269,419.19921866007724,0.0
