,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.275,0.012,0.04,0.078,0.266,0.852,0.62,0.278,0.076,0.01,0.006
1911-1920,0.275,0.0,0.113,0.369,0.603,0.674,0.201,0.332,0.621,0.484,0.079,0.024
1921-1930,0.012,0.113,0.0,0.025,0.664,0.745,0.042,0.057,0.029,0.119,0.044,0.029
1931-1940,0.04,0.369,0.025,0.0,0.171,0.176,0.101,0.216,0.208,0.179,0.072,0.032
1941-1950,0.078,0.603,0.664,0.171,0.0,0.707,0.202,0.428,0.368,0.362,0.373,0.19
1951-1960,0.266,0.674,0.745,0.176,0.707,0.0,0.132,0.327,0.556,0.691,0.344,0.149
1961-1970,0.852,0.201,0.042,0.101,0.202,0.132,0.0,0.743,0.226,0.102,0.016,0.0
1971-1980,0.62,0.332,0.057,0.216,0.428,0.327,0.743,0.0,0.505,0.376,0.038,0.028
1981-1990,0.278,0.621,0.029,0.208,0.368,0.556,0.226,0.505,0.0,0.695,0.176,0.037
1991-2000,0.076,0.484,0.119,0.179,0.362,0.691,0.102,0.376,0.695,0.0,0.234,0.044
2001-2010,0.01,0.079,0.044,0.072,0.373,0.344,0.016,0.038,0.176,0.234,0.0,0.501
2011-2018,0.006,0.024,0.029,0.032,0.19,0.149,0.0,0.028,0.037,0.044,0.501,0.0
