timespan_1,timespan_2,distance,drift_magnitude,p_value
1961-1970,2011-2018,5,10.757149037017388,0.0
1901-1910,2011-2018,11,11.285664028756043,0.006
1901-1910,2001-2010,10,10.345781801484854,0.01
1901-1910,1921-1930,2,11.413335328863784,0.012
1961-1970,2001-2010,4,10.031723084262074,0.016
1911-1920,2011-2018,10,7.2901422592001355,0.024
1921-1930,1931-1940,1,8.17361101122763,0.025
1971-1980,2011-2018,4,9.406355077129279,0.028
1921-1930,1981-1990,6,8.128474065814421,0.029
1921-1930,2011-2018,9,5.965560739355583,0.029
1931-1940,2011-2018,8,7.903379603682314,0.032
1981-1990,2011-2018,3,6.390123449133303,0.037
1971-1980,2001-2010,3,8.832839881605395,0.038
1901-1910,1931-1940,3,12.498340281505984,0.04
1921-1930,1961-1970,4,11.100505140487469,0.042
1921-1930,2001-2010,8,6.045649776704978,0.044
1991-2000,2011-2018,2,4.768483423095737,0.044
