,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,4.645348476366769,5.097330489662219,5.990265924254549,8.958613010786095,6.8966586639217295,6.4386995667824305,6.738437609802478,8.198314814636934,5.088538514307654,4.837162966380773,5.781285409379411
1911-1920,4.645348476366769,0.0,5.287684744138627,5.239329485821033,8.494825932132736,6.456381914812469,6.735403383986547,6.889320081972962,8.505353504083443,4.7468386045377855,4.721970433485126,5.309362657450569
1921-1930,5.097330489662219,5.287684744138627,0.0,6.463096604027407,8.981779611093183,7.6728330288100315,6.952983362369034,7.297179793520159,8.523649453105397,5.563350991986005,5.201792829389929,6.658877182001205
1931-1940,5.990265924254549,5.239329485821033,6.463096604027407,0.0,8.98767871199424,6.6470027881185345,7.384452837971208,7.934059010103237,9.71519867050097,5.8011579153194885,5.656700122529549,6.107293048799777
1941-1950,8.958613010786095,8.494825932132736,8.981779611093183,8.98767871199424,0.0,9.432706837059456,9.71030077568957,10.145464376691248,11.755443243972483,8.996147976462751,8.632995900395821,8.846168255256817
1951-1960,6.8966586639217295,6.456381914812469,7.6728330288100315,6.6470027881185345,9.432706837059456,0.0,8.026084151425797,8.719389015334636,10.554540438411676,6.366047788646625,6.6011953412943685,6.008894523453424
1961-1970,6.4386995667824305,6.735403383986547,6.952983362369034,7.384452837971208,9.71030077568957,8.026084151425797,0.0,7.546124624307731,9.395924686144362,6.630409606844532,6.420195862786817,6.9208120971356895
1971-1980,6.738437609802478,6.889320081972962,7.297179793520159,7.934059010103237,10.145464376691248,8.719389015334636,7.546124624307731,0.0,9.554043588452434,6.252919742772952,5.9696212640178885,6.1985946856216065
1981-1990,8.198314814636934,8.505353504083443,8.523649453105397,9.71519867050097,11.755443243972483,10.554540438411676,9.395924686144362,9.554043588452434,0.0,8.814751786143908,8.45091747995058,9.224070012920183
1991-2000,5.088538514307654,4.7468386045377855,5.563350991986005,5.8011579153194885,8.996147976462751,6.366047788646625,6.630409606844532,6.252919742772952,8.814751786143908,0.0,3.7778258043268846,4.0294355767613945
2001-2010,4.837162966380773,4.721970433485126,5.201792829389929,5.656700122529549,8.632995900395821,6.6011953412943685,6.420195862786817,5.9696212640178885,8.45091747995058,3.7778258043268846,0.0,4.489642986696594
2011-2018,5.781285409379411,5.309362657450569,6.658877182001205,6.107293048799777,8.846168255256817,6.008894523453424,6.9208120971356895,6.1985946856216065,9.224070012920183,4.0294355767613945,4.489642986696594,0.0
