synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s6399,bank,1901-1910,1911-1920,0.014484443945589957,0.4678727250409358
s6399,bank,1911-1920,1921-1930,0.022104466707264913,0.38655817788180014
s6399,bank,1921-1930,1931-1940,0.07407925391598835,0.6797006687959706
s6399,bank,1931-1940,1941-1950,0.01244068147951667,0.4964836191900151
s6399,bank,1941-1950,1951-1960,0.049056696882251394,0.14152202641982503
s6399,bank,1951-1960,1961-1970,0.012903241037375581,0.18750385155173785
s6399,bank,1961-1970,1971-1980,0.04758514375301749,0.5768948356423367
s6399,bank,1971-1980,1981-1990,0.025867278136150133,0.12184382056863874
s6399,bank,1981-1990,1991-2000,0.12028680594009951,0.45007234026783793
s6399,bank,1991-2000,2001-2010,0.007603399391210892,0.3707817676356718
