,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.5,0.073,0.701,0.63,0.192,0.225,0.216,0.098,0.276,0.163,0.263
1911-1920,0.5,0.0,0.278,0.631,0.885,0.214,0.079,0.252,0.572,0.32,0.152,0.287
1921-1930,0.073,0.278,0.0,0.534,0.426,0.735,0.026,0.274,0.484,0.167,0.049,0.213
1931-1940,0.701,0.631,0.534,0.0,0.905,0.282,0.276,0.609,0.628,0.559,0.394,0.699
1941-1950,0.63,0.885,0.426,0.905,0.0,0.803,0.794,0.681,0.784,0.678,0.379,0.64
1951-1960,0.192,0.214,0.735,0.282,0.803,0.0,0.639,0.249,0.297,0.32,0.082,0.194
1961-1970,0.225,0.079,0.026,0.276,0.794,0.639,0.0,0.1,0.041,0.199,0.078,0.078
1971-1980,0.216,0.252,0.274,0.609,0.681,0.249,0.1,0.0,0.317,0.805,0.317,0.894
1981-1990,0.098,0.572,0.484,0.628,0.784,0.297,0.041,0.317,0.0,0.244,0.089,0.235
1991-2000,0.276,0.32,0.167,0.559,0.678,0.32,0.199,0.805,0.244,0.0,0.328,0.674
2001-2010,0.163,0.152,0.049,0.394,0.379,0.082,0.078,0.317,0.089,0.328,0.0,0.362
2011-2018,0.263,0.287,0.213,0.699,0.64,0.194,0.078,0.894,0.235,0.674,0.362,0.0
