,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.164,0.188,0.094,0.0,0.048,0.08,0.0,0.015,0.122,0.102,0.037
1911-1920,0.164,0.0,0.51,0.338,0.009,0.31,0.057,0.001,0.012,0.119,0.307,0.357
1921-1930,0.188,0.51,0.0,0.111,0.028,0.114,0.073,0.022,0.001,0.119,0.127,0.084
1931-1940,0.094,0.338,0.111,0.0,0.081,0.286,0.034,0.011,0.101,0.033,0.796,0.201
1941-1950,0.0,0.009,0.028,0.081,0.0,0.074,0.0,0.001,0.0,0.0,0.078,0.018
1951-1960,0.048,0.31,0.114,0.286,0.074,0.0,0.117,0.137,0.137,0.146,0.455,0.397
1961-1970,0.08,0.057,0.073,0.034,0.0,0.117,0.0,0.03,0.135,0.159,0.055,0.24
1971-1980,0.0,0.001,0.022,0.011,0.001,0.137,0.03,0.0,0.04,0.312,0.037,0.534
1981-1990,0.015,0.012,0.001,0.101,0.0,0.137,0.135,0.04,0.0,0.12,0.159,0.494
1991-2000,0.122,0.119,0.119,0.033,0.0,0.146,0.159,0.312,0.12,0.0,0.09,0.8
2001-2010,0.102,0.307,0.127,0.796,0.078,0.455,0.055,0.037,0.159,0.09,0.0,0.331
2011-2018,0.037,0.357,0.084,0.201,0.018,0.397,0.24,0.534,0.494,0.8,0.331,0.0
