synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s110427,fuß,1901-1910,1911-1920,0.018402501257431442,0.2631358424407435
s110427,fuß,1911-1920,1921-1930,0.0421707736039707,0.15110923777387203
s110427,fuß,1921-1930,1931-1940,0.00963885210239823,0.36970062938406584
s110427,fuß,1931-1940,1941-1950,0.02222248502485513,0.32005835195297166
s110427,fuß,1941-1950,1951-1960,0.17209942661286276,1.117815412039548
s110427,fuß,1951-1960,1961-1970,0.11436449852433839,0.8212724299602582
s110427,fuß,1961-1970,1971-1980,0.16804238598539695,0.13822842514452455
s110427,fuß,1971-1980,1981-1990,0.1293361483029457,0.19203902773792308
s110427,fuß,1981-1990,1991-2000,0.07307456564287046,0.5709567280655519
s110427,fuß,1991-2000,2001-2010,0.03427610852781982,0.5031598555168362
