synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s25993,klappe,1901-1910,1911-1920,0.0068212793772704,0.254221229991097
s25993,klappe,1911-1920,1921-1930,0.0037859083423720055,0.2529663744860014
s25993,klappe,1921-1930,1931-1940,0.007479208665178576,0.1317643215665477
s25993,klappe,1931-1940,1941-1950,0.02600300879757133,1.3095307203180637
s25993,klappe,1941-1950,1951-1960,0.012423389388635334,0.6269517841160622
s25993,klappe,1951-1960,1961-1970,0.006718870885990701,0.24434057882652918
s25993,klappe,1961-1970,1971-1980,0.020077574583081688,0.09792436270181426
s25993,klappe,1971-1980,1981-1990,0.014563238335071945,0.082201452647144
s25993,klappe,1981-1990,1991-2000,0.023339000668203214,0.19283772525254833
s25993,klappe,1991-2000,2001-2010,0.00449171801822412,0.4635570102142503
