,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.245,0.052,0.068,0.27,0.396,0.232,0.306,0.465,0.643,0.283,0.155
1911-1920,0.245,0.0,0.13,0.062,0.14,0.193,0.336,0.221,0.228,0.265,0.181,0.173
1921-1930,0.052,0.13,0.0,0.921,0.125,0.233,0.495,0.081,0.361,0.154,0.71,0.485
1931-1940,0.068,0.062,0.921,0.0,0.101,0.277,0.386,0.198,0.99,0.291,0.635,0.682
1941-1950,0.27,0.14,0.125,0.101,0.0,0.496,0.377,0.821,0.261,0.601,0.345,0.213
1951-1960,0.396,0.193,0.233,0.277,0.496,0.0,0.48,0.723,0.5,0.73,0.792,0.539
1961-1970,0.232,0.336,0.495,0.386,0.377,0.48,0.0,0.401,0.652,0.455,0.784,0.962
1971-1980,0.306,0.221,0.081,0.198,0.821,0.723,0.401,0.0,0.309,0.804,0.285,0.292
1981-1990,0.465,0.228,0.361,0.99,0.261,0.5,0.652,0.309,0.0,0.725,0.775,0.944
1991-2000,0.643,0.265,0.154,0.291,0.601,0.73,0.455,0.804,0.725,0.0,0.446,0.467
2001-2010,0.283,0.181,0.71,0.635,0.345,0.792,0.784,0.285,0.775,0.446,0.0,0.989
2011-2018,0.155,0.173,0.485,0.682,0.213,0.539,0.962,0.292,0.944,0.467,0.989,0.0
