,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,2.950270436058939,3.3538561339487285,3.1802197858548142,3.2076692954989583,6.275420683107101,7.069211101660414,8.056321716866409,5.098691754953748,6.1231568752951215,5.650255220284132,6.398652138703407
1911-1920,2.950270436058939,0.0,3.0489243779264337,2.4239373662170043,2.6848424258882915,5.648536962193343,6.42679996362559,7.7089404334599685,4.822689081370291,5.9510873245422795,5.398380274095423,6.178048809423145
1921-1930,3.3538561339487285,3.0489243779264337,0.0,3.109597473497993,2.8276740411624064,6.480620833353138,6.284659238567407,8.696767524472161,5.026773188155187,6.030251711165037,5.086262755699699,5.324916668053979
1931-1940,3.1802197858548142,2.4239373662170043,3.109597473497993,0.0,2.577861126464815,5.524644300986326,6.69174668433632,7.9323095435495,4.596251274131858,5.7598424975755025,5.064612351744068,5.919843438288008
1941-1950,3.2076692954989583,2.6848424258882915,2.8276740411624064,2.577861126464815,0.0,6.0406043207169295,6.311824036441547,8.27008814939773,4.539701417460422,5.596641551343188,4.795069526610615,5.357243527956368
1951-1960,6.275420683107101,5.648536962193343,6.480620833353138,5.524644300986326,6.0406043207169295,0.0,8.751353519621203,8.530593002654106,6.63860873420596,7.503307805395614,7.497009605515514,8.410223005951387
1961-1970,7.069211101660414,6.42679996362559,6.284659238567407,6.69174668433632,6.311824036441547,8.751353519621203,0.0,10.702434169705608,7.157833245105122,8.153611664981211,6.707796697003183,6.68950288537885
1971-1980,8.056321716866409,7.7089404334599685,8.696767524472161,7.9323095435495,8.27008814939773,8.530593002654106,10.702434169705608,0.0,8.488511597005413,8.986123620371329,9.794421373073545,10.68443304674995
1981-1990,5.098691754953748,4.822689081370291,5.026773188155187,4.596251274131858,4.539701417460422,6.63860873420596,7.157833245105122,8.488511597005413,0.0,5.137539117581331,4.746303557476547,5.515967847809308
1991-2000,6.1231568752951215,5.9510873245422795,6.030251711165037,5.7598424975755025,5.596641551343188,7.503307805395614,8.153611664981211,8.986123620371329,5.137539117581331,0.0,6.194015254853909,6.500351393667676
2001-2010,5.650255220284132,5.398380274095423,5.086262755699699,5.064612351744068,4.795069526610615,7.497009605515514,6.707796697003183,9.794421373073545,4.746303557476547,6.194015254853909,0.0,4.746253603151199
2011-2018,6.398652138703407,6.178048809423145,5.324916668053979,5.919843438288008,5.357243527956368,8.410223005951387,6.68950288537885,10.68443304674995,5.515967847809308,6.500351393667676,4.746253603151199,0.0
