timespan_1,timespan_2,distance,drift_magnitude,p_value
1911-1920,2011-2018,10,7.890805361181732,0.0
1911-1920,2001-2010,9,6.165543986548465,0.0
1931-1940,2011-2018,8,8.962578193908508,0.0
1931-1940,2001-2010,7,7.433037365409405,0.0
1951-1960,2011-2018,6,7.616323387770273,0.0
1921-1930,2011-2018,9,8.437562043696937,0.001
1921-1930,2001-2010,8,6.6343420759046925,0.001
1901-1910,2011-2018,11,7.804558454696362,0.003
1941-1950,2011-2018,7,8.11343110424106,0.004
1961-1970,2011-2018,5,8.809409004647081,0.005
1901-1910,2001-2010,10,6.514783758426766,0.006
1971-1980,2011-2018,4,6.691817206577677,0.009
1981-1990,2001-2010,2,7.575517313236342,0.011
1981-1990,2011-2018,3,8.582915647133651,0.011
1991-2000,2001-2010,1,8.930041811449584,0.011
2001-2010,2011-2018,1,6.512649654912691,0.012
1961-1970,2001-2010,4,7.5335807448462315,0.016
1941-1950,2001-2010,6,6.302955952429905,0.016
1931-1940,1971-1980,4,6.084988231178302,0.017
1951-1960,2001-2010,5,5.6049665732612715,0.017
1991-2000,2011-2018,2,9.578562709192076,0.018
1921-1930,1971-1980,5,5.924997928236056,0.024
1971-1980,1991-2000,2,7.802961380893225,0.037
1961-1970,1971-1980,1,6.1713333384313165,0.046
1951-1960,1991-2000,4,7.186946121188823,0.049
