,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.826,0.418,0.219,0.637,0.07,0.025,0.104,0.437,0.182,0.312,0.577
1911-1920,0.826,0.0,0.345,0.232,0.463,0.087,0.038,0.09,0.386,0.22,0.498,0.552
1921-1930,0.418,0.345,0.0,0.774,0.697,0.755,0.782,0.886,0.96,0.854,0.181,0.887
1931-1940,0.219,0.232,0.774,0.0,0.738,0.316,0.376,0.289,0.466,0.695,0.071,0.759
1941-1950,0.637,0.463,0.697,0.738,0.0,0.371,0.118,0.401,0.866,0.482,0.304,0.723
1951-1960,0.07,0.087,0.755,0.316,0.371,0.0,0.63,0.819,0.35,0.386,0.038,0.243
1961-1970,0.025,0.038,0.782,0.376,0.118,0.63,0.0,0.516,0.263,0.804,0.013,0.569
1971-1980,0.104,0.09,0.886,0.289,0.401,0.819,0.516,0.0,0.7,0.742,0.045,0.902
1981-1990,0.437,0.386,0.96,0.466,0.866,0.35,0.263,0.7,0.0,0.601,0.108,0.933
1991-2000,0.182,0.22,0.854,0.695,0.482,0.386,0.804,0.742,0.601,0.0,0.176,0.65
2001-2010,0.312,0.498,0.181,0.071,0.304,0.038,0.013,0.045,0.108,0.176,0.0,0.429
2011-2018,0.577,0.552,0.887,0.759,0.723,0.243,0.569,0.902,0.933,0.65,0.429,0.0
