,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1901-1910,0.0,7.657194206878509,5.912706878955667,7.000190814836138,6.654197693723346,6.425610064354605,7.735990850106479,8.063102578972327,8.74369970983948,7.113474910754112,7.119181900944088
1911-1920,7.657194206878509,0.0,7.9346156996746044,8.096257059873889,6.891851848091659,8.345125331277933,8.10213564278204,8.780090124953652,9.273011349563248,8.26092969687303,7.42769030665514
1921-1930,5.912706878955667,7.9346156996746044,0.0,4.604835492548378,4.44459847953478,4.287198469922947,5.454303899135145,5.025434294205965,6.046738344839747,4.450353317421061,4.966640785086781
1931-1940,7.000190814836138,8.096257059873889,4.604835492548378,0.0,3.8740522569926963,3.455634737922546,3.9576657030306683,3.5587466667826746,3.8665385095647173,3.547271521632751,3.720786825619713
1941-1950,6.654197693723346,6.891851848091659,4.44459847953478,3.8740522569926963,0.0,4.232116820790666,4.618020051062711,4.224962327357915,4.919870189469524,3.8902689226201987,3.7471671032917664
1951-1960,6.425610064354605,8.345125331277933,4.287198469922947,3.455634737922546,4.232116820790666,0.0,5.268718802271052,4.152397517882187,5.1740805670742285,3.8303786536685087,4.4447506639967544
1961-1970,7.735990850106479,8.10213564278204,5.454303899135145,3.9576657030306683,4.618020051062711,5.268718802271052,0.0,4.428363435359409,3.8329165200582187,4.791998644059785,4.031610524864446
1971-1980,8.063102578972327,8.780090124953652,5.025434294205965,3.5587466667826746,4.224962327357915,4.152397517882187,4.428363435359409,0.0,3.44141941667233,3.6504272877600794,3.919803947745783
1981-1990,8.74369970983948,9.273011349563248,6.046738344839747,3.8665385095647173,4.919870189469524,5.1740805670742285,3.8329165200582187,3.44141941667233,0.0,4.287412565361226,3.845785790788815
2001-2010,7.113474910754112,8.26092969687303,4.450353317421061,3.547271521632751,3.8902689226201987,3.8303786536685087,4.791998644059785,3.6504272877600794,4.287412565361226,0.0,3.7974221828528254
2011-2018,7.119181900944088,7.42769030665514,4.966640785086781,3.720786825619713,3.7471671032917664,4.4447506639967544,4.031610524864446,3.919803947745783,3.845785790788815,3.7974221828528254,0.0
