synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s10937,stammbuch,1901-1910,1911-1920,0.021698371013961073,0.07699222524698035
s10937,stammbuch,1911-1920,1921-1930,0.06178987475452118,0.12198111315145405
s10937,stammbuch,1921-1930,1931-1940,0.03756060715580491,0.6024007154594244
s10937,stammbuch,1931-1940,1941-1950,0.01550172394794778,0.1475377274004886
s10937,stammbuch,1941-1950,1951-1960,0.03174247352567877,0.20144402436039696
s10937,stammbuch,1951-1960,1961-1970,0.04977872629955244,0.11999479029905981
s10937,stammbuch,1961-1970,1971-1980,0.020562862298917108,0.14746578403703942
s10937,stammbuch,1971-1980,1981-1990,0.01087982596178507,0.36894245748863413
s10937,stammbuch,1981-1990,1991-2000,0.006156336866408316,0.20451671671967672
s10937,stammbuch,1991-2000,2001-2010,0.014271929328033176,0.11091751156705956
