event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1971-1980,4.460756230924046,0.026,7,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
1,1901-1910,1991-2000,4.315819683894335,0.011,9,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
2,1901-1910,2011-2018,4.4089678197473905,0.02,11,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
3,1911-1920,1991-2000,4.149559850138164,0.009,8,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
4,1911-1920,2011-2018,4.135664864671005,0.027,10,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
5,1921-1930,1991-2000,3.8838963414873735,0.007,7,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
6,1921-1930,2011-2018,3.9535001954335587,0.028,9,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
7,1931-1940,1991-2000,3.860893100186043,0.025,6,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
8,1951-1960,1991-2000,4.251009305816187,0.023,4,"1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
9,1971-1980,2011-2018,4.851544523132577,0.036,4,"1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
