,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,2.3050680129289933,2.6322889234086526,2.499521471179126,2.6110189937810873,3.0734435605361883,3.716460122057706,4.460756230924046,3.4449028606017427,4.315819683894335,3.997191437153809,4.4089678197473905
1911-1920,2.3050680129289933,0.0,2.100514044764899,2.318500395661853,2.2739791150841553,2.6960416169396613,3.411502972014093,4.046379271068608,3.4808463724181644,4.149559850138164,3.6974270944791914,4.135664864671005
1921-1930,2.6322889234086526,2.100514044764899,0.0,2.176525953873427,2.184526358715708,2.534576723695456,2.985302234368758,3.70359691056775,3.3769069109678784,3.8838963414873735,3.3904402881885707,3.9535001954335587
1931-1940,2.499521471179126,2.318500395661853,2.176525953873427,0.0,2.102901617132874,2.8532747426687255,3.25184978298514,3.9643116275318255,3.2585695815872233,3.860893100186043,3.4484061242564454,3.9404755529539286
1941-1950,2.6110189937810873,2.2739791150841553,2.184526358715708,2.102901617132874,0.0,2.6592088498545223,3.33844583827777,3.9872488814516784,3.295863702196972,3.6268279378138732,3.1439118095739658,3.6519077229545034
1951-1960,3.0734435605361883,2.6960416169396613,2.534576723695456,2.8532747426687255,2.6592088498545223,0.0,3.2987148035058493,3.9170662129444063,3.9311268177730607,4.251009305816187,3.665658451088496,4.006912956447021
1961-1970,3.716460122057706,3.411502972014093,2.985302234368758,3.25184978298514,3.33844583827777,3.2987148035058493,0.0,3.4944080747538084,4.016656409762563,4.148145066419718,3.644775687168577,4.396492704001062
1971-1980,4.460756230924046,4.046379271068608,3.70359691056775,3.9643116275318255,3.9872488814516784,3.9170662129444063,3.4944080747538084,0.0,4.679028847069835,4.566151802476214,3.9955776918252455,4.851544523132577
1981-1990,3.4449028606017427,3.4808463724181644,3.3769069109678784,3.2585695815872233,3.295863702196972,3.9311268177730607,4.016656409762563,4.679028847069835,0.0,3.56161773677678,3.5823051896801643,3.953375128232394
1991-2000,4.315819683894335,4.149559850138164,3.8838963414873735,3.860893100186043,3.6268279378138732,4.251009305816187,4.148145066419718,4.566151802476214,3.56161773677678,0.0,3.526591097399727,3.59217643636515
2001-2010,3.997191437153809,3.6974270944791914,3.3904402881885707,3.4484061242564454,3.1439118095739658,3.665658451088496,3.644775687168577,3.9955776918252455,3.5823051896801643,3.526591097399727,0.0,3.764543197587771
2011-2018,4.4089678197473905,4.135664864671005,3.9535001954335587,3.9404755529539286,3.6519077229545034,4.006912956447021,4.396492704001062,4.851544523132577,3.953375128232394,3.59217643636515,3.764543197587771,0.0
