timespan_1,timespan_2,distance,drift_magnitude,p_value
1921-1930,1991-2000,7,3.8838963414873735,0.007
1911-1920,1991-2000,8,4.149559850138164,0.009
1901-1910,1991-2000,9,4.315819683894335,0.011
1901-1910,2011-2018,11,4.4089678197473905,0.02
1951-1960,1991-2000,4,4.251009305816187,0.023
1931-1940,1991-2000,6,3.860893100186043,0.025
1901-1910,1971-1980,7,4.460756230924046,0.026
1911-1920,2011-2018,10,4.135664864671005,0.027
1921-1930,2011-2018,9,3.9535001954335587,0.028
1971-1980,2011-2018,4,4.851544523132577,0.036
