synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s9426,universität,1901-1910,1911-1920,0.012956970236669148,0.2409979816674104
s9426,universität,1911-1920,1921-1930,0.009714163502206299,0.11722438434443797
s9426,universität,1921-1930,1931-1940,0.09671193199163905,1.212628302025634
s9426,universität,1931-1940,1941-1950,0.046723222911941774,0.08369951586847975
s9426,universität,1941-1950,1951-1960,0.040578330822131664,0.05628789093551136
s9426,universität,1951-1960,1961-1970,0.10009782454274047,0.9986797633671273
s9426,universität,1961-1970,1971-1980,0.12028176469252687,1.2429867647397457
s9426,universität,1971-1980,1981-1990,0.10484135995260663,0.16403498128978855
s9426,universität,1981-1990,1991-2000,0.24708607141759345,0.6053906265070567
s9426,universität,1991-2000,2001-2010,0.04258848219131625,0.34606271567628477
