,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,3.762556854576903,3.403893135317445,2.3081260549358205,3.324930124646143,2.9007822583622036,3.2898951395507345,3.0220835677162183,3.1965526364348698,3.1552219816377303,3.4388440402355167,3.299238226412571
1911-1920,3.762556854576903,0.0,4.154252698655092,3.6036089718016298,4.392331786055986,3.8324612053409046,4.026367056338207,4.067891156244435,4.152376935923882,4.061355000513866,4.217829343841721,4.091057635721896
1921-1930,3.403893135317445,4.154252698655092,0.0,3.371368423068126,4.172547928969967,3.8471659182608544,4.279594708328157,3.918344261128292,3.8149089067305293,3.9170615276558705,4.24752680499494,4.204075436169787
1931-1940,2.3081260549358205,3.6036089718016298,3.371368423068126,0.0,3.0073224552123725,2.9427749729332695,3.808888994875189,2.882704973773628,2.932732290279623,2.8696759833875323,2.9749435368973836,3.0331458729421383
1941-1950,3.324930124646143,4.392331786055986,4.172547928969967,3.0073224552123725,0.0,3.6522318413860115,4.637704208796339,3.5740346889136316,3.6049166195709375,3.4215292178403773,3.521708801951431,3.7365385023472384
1951-1960,2.9007822583622036,3.8324612053409046,3.8471659182608544,2.9427749729332695,3.6522318413860115,0.0,3.188737061915905,2.2956383261294935,2.5886515741065814,2.8673341855934513,3.354267425282677,3.001224755527425
1961-1970,3.2898951395507345,4.026367056338207,4.279594708328157,3.808888994875189,4.637704208796339,3.188737061915905,0.0,3.494369946837562,3.973827948502323,4.069463825665186,4.559832455430213,4.1987715318197365
1971-1980,3.0220835677162183,4.067891156244435,3.918344261128292,2.882704973773628,3.5740346889136316,2.2956383261294935,3.494369946837562,0.0,2.534162117708807,2.775824130711047,3.280542240181643,2.8933459034830817
1981-1990,3.1965526364348698,4.152376935923882,3.8149089067305293,2.932732290279623,3.6049166195709375,2.5886515741065814,3.973827948502323,2.534162117708807,0.0,2.370069058148404,2.6012772966556557,2.4719411711720896
1991-2000,3.1552219816377303,4.061355000513866,3.9170615276558705,2.8696759833875323,3.4215292178403773,2.8673341855934513,4.069463825665186,2.775824130711047,2.370069058148404,0.0,2.0497126446195013,2.118185467453719
2001-2010,3.4388440402355167,4.217829343841721,4.24752680499494,2.9749435368973836,3.521708801951431,3.354267425282677,4.559832455430213,3.280542240181643,2.6012772966556557,2.0497126446195013,0.0,2.1513413418008005
2011-2018,3.299238226412571,4.091057635721896,4.204075436169787,3.0331458729421383,3.7365385023472384,3.001224755527425,4.1987715318197365,2.8933459034830817,2.4719411711720896,2.118185467453719,2.1513413418008005,0.0
