,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,3.755719549543282,3.7600151587237187,4.22976899692916,4.961470660209657,4.152729415525902,4.40538785772726,4.196855340817005,4.638193171089407,4.634616273528299,4.383050364563293,4.109118732847262
1911-1920,3.755719549543282,0.0,4.068581479642944,4.304326412502649,4.245227636752695,4.30248796899636,4.796927547811282,4.3436083061254305,4.608279814992893,3.947605316091195,4.224012510192073,4.110005960527408
1921-1930,3.7600151587237187,4.068581479642944,0.0,3.9083997796320924,4.913785459999362,4.185368117958351,3.7710559043533065,3.87332564876309,4.113774166841575,4.1003758260993015,3.689715205262378,3.7163869105125515
1931-1940,4.22976899692916,4.304326412502649,3.9083997796320924,0.0,4.568267037107937,4.099635932277401,3.703542963396906,4.030400180435449,3.9302164352024294,3.974141913266837,3.64179569853609,4.047457946728699
1941-1950,4.961470660209657,4.245227636752695,4.913785459999362,4.568267037107937,0.0,4.330617381828897,5.127956186278389,4.838568340338454,4.541319210856837,3.906173906804032,4.589384456618013,4.277040089474546
1951-1960,4.152729415525902,4.30248796899636,4.185368117958351,4.099635932277401,4.330617381828897,0.0,4.056430123098947,3.785942501648087,3.941995497324347,3.9901462310388376,4.1013521550619165,4.018369283300684
1961-1970,4.40538785772726,4.796927547811282,3.7710559043533065,3.703542963396906,5.127956186278389,4.056430123098947,0.0,3.7359368483617006,4.0705101656832605,4.2352898680592395,3.5319608467973804,3.982273670699241
1971-1980,4.196855340817005,4.3436083061254305,3.87332564876309,4.030400180435449,4.838568340338454,3.785942501648087,3.7359368483617006,0.0,4.167101129380643,3.9544635284288083,3.7543978318110933,4.107307785935504
1981-1990,4.638193171089407,4.608279814992893,4.113774166841575,3.9302164352024294,4.541319210856837,3.941995497324347,4.0705101656832605,4.167101129380643,0.0,3.750207678735569,3.7049370630614953,4.028486727555761
1991-2000,4.634616273528299,3.947605316091195,4.1003758260993015,3.974141913266837,3.906173906804032,3.9901462310388376,4.2352898680592395,3.9544635284288083,3.750207678735569,0.0,3.0891053542950164,3.3315064548588187
2001-2010,4.383050364563293,4.224012510192073,3.689715205262378,3.64179569853609,4.589384456618013,4.1013521550619165,3.5319608467973804,3.7543978318110933,3.7049370630614953,3.0891053542950164,0.0,3.418347439825676
2011-2018,4.109118732847262,4.110005960527408,3.7163869105125515,4.047457946728699,4.277040089474546,4.018369283300684,3.982273670699241,4.107307785935504,4.028486727555761,3.3315064548588187,3.418347439825676,0.0
