timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,1991-2000,9,7.320741688349426,0.0
1901-1910,2011-2018,11,6.452483309214844,0.0
1911-1920,1991-2000,8,7.86933852776104,0.0
1911-1920,2011-2018,10,6.857790882570447,0.0
1931-1940,1991-2000,6,8.165015662767233,0.0
1971-1980,1991-2000,2,7.8818377785438285,0.0
1961-1970,1991-2000,3,8.0955129077952,0.0
1951-1960,1991-2000,4,7.930425352440902,0.0
1961-1970,2011-2018,5,6.8769214274360015,0.0
1981-1990,1991-2000,1,7.867179638634248,0.0
1991-2000,2011-2018,2,7.743219558190282,0.0
1941-1950,1991-2000,5,7.914435475917855,0.001
1911-1920,1981-1990,7,5.874447299754728,0.001
1921-1930,1991-2000,7,8.007773055894486,0.002
1911-1920,2001-2010,9,6.560910947927991,0.005
1961-1970,2001-2010,4,6.658298982951628,0.005
1951-1960,2011-2018,6,5.888480202626885,0.009
1961-1970,1981-1990,2,6.23054214869701,0.014
1931-1940,2011-2018,8,6.3584296715526305,0.016
1941-1950,2011-2018,7,6.364281517975764,0.024
1931-1940,1961-1970,3,6.209845710513486,0.024
1921-1930,2011-2018,9,6.731534470188134,0.026
1911-1920,1951-1960,4,5.364710047591802,0.036
1911-1920,1971-1980,6,5.815151108519631,0.048
1911-1920,1961-1970,5,5.572410120581441,0.049
