lexeme,synset,std_drift,iqr_drift,kde_peak,num_dimensions,any_significant
stammbuch,s10937,330.04314255888295,510.6282916706035,0.0030303513910468075,2048,True
stammbuch,s10971,330.0199496933416,510.5883880551981,0.0030307091385251912,2048,False
schnabel,s25993,330.153911438083,510.89532397330635,0.0030287006388967927,2048,True
schnabel,s26449,330.09317107509304,510.73112384160555,0.0030296058243693674,2048,True
atmosphäre,s42158,330.0458727806377,510.624757773561,0.0030303186012826545,2048,True
atmosphäre,s14251,330.120921226974,510.80131579266464,0.0030291987579358207,2048,True
atmosphäre,s33676,329.76194733737856,509.95310043594367,0.0030346321627560268,2048,True
atmosphäre,s42868,330.1216773984121,510.81567378615136,0.0030291825384133712,2048,True
diarium,s29492,330.09130515255487,510.7295975002996,0.0030296278852849205,2048,False
diarium,s10919,330.04619990788257,510.6244921393668,0.003030310268377109,2048,True
kasse,s74827,330.0685874945051,510.67808774749477,0.0030299565142504667,2048,True
kasse,s74907,330.03504468194114,510.5933013647749,0.0030304985598504316,2048,True
kasse,s6521,329.88777590562586,510.27972332984865,0.003032629383913483,2048,True
kasse,s25445,330.06371285800225,510.67265582882374,0.0030300385924278373,2048,True
kasse,s25245,329.89547544269146,510.25989375934887,0.003032661563310729,2048,False
kasse,s22803,329.95869852350256,510.4289322035873,0.0030316793374486175,2048,True
universität,s9426,329.8837194608645,510.25785862057063,0.003032832692303738,2048,True
universität,s24528,330.14687862376593,510.87226969199577,0.00302880771249136,2048,True
universität,s75975,329.850470091771,510.1410893502219,0.0030333066091243702,2048,False
blatt,s33132,329.71807002095375,509.83252648084215,0.0030352959210944606,2048,False
blatt,s25671,329.84403453504837,510.1558895993092,0.003033423773191472,2048,False
blatt,s10649,330.16481599586353,510.92538014043043,0.0030285430533867363,2048,True
blatt,s85055,329.98911248134954,510.48929921154837,0.003031201587654093,2048,False
blatt,s46736,330.0720489944725,510.69392335652134,0.0030299093601671282,2048,True
blatt,s11270,330.07557706408323,510.698429064411,0.00302985085893948,2048,True
block,s15791,329.88010862597974,510.2140863553797,0.0030329103334661655,2048,True
block,s107180,330.09819801879735,510.7512880009838,0.003029526472543183,2048,True
block,s11307,329.75930623055206,509.9448884030232,0.0030346443504235053,2048,True
block,s9544,329.96608571066054,510.46143725165075,0.003031573269139441,2048,True
block,s33659,330.1076507890115,510.8017963573876,0.0030293728191107447,2048,False
klappe,s110889,329.84977416219976,510.2098998895279,0.0030331367309403036,2048,True
klappe,s6029,330.0860005810433,510.72563374453034,0.0030297123838834658,2048,True
klappe,s25993,330.1911766497761,510.9823051460036,0.003028148565584857,2048,True
pinsel,s8330,330.1492797483784,510.88333795043405,0.0030287707656160077,2048,True
pinsel,s37889,329.82499412991774,510.09985643083155,0.003033701341379224,2048,False
maske,s106689,330.10138804084505,510.75863837682533,0.003029480089389363,2048,True
decke,s10206,330.1194481022419,510.7995606842727,0.0030292204107200487,2048,False
decke,s73206,329.76206521124925,509.91328514370787,0.003034689505031422,2048,False
decke,s7419,330.06374622258795,510.67969940347587,0.00303002342054148,2048,True
pflaster,s7930,329.92771615839416,510.33009424289963,0.003032146504362593,2048,True
pflaster,s47771,330.1622605322615,510.90978415673874,0.003028584491599254,2048,True
virus,s50968,330.2126445154449,511.0335745720695,0.0030278270846124497,2048,True
virus,s64010,329.9112225262307,510.3109663674144,0.003032262763193946,2048,True
kartenspiel,s25671,329.9054379578024,510.26231013399524,0.003032523156930499,2048,False
kartenspiel,s11135,330.0407056102381,510.6189689514283,0.0030303972165792695,2048,True
gesichtsmaske,s63143,330.0330905966792,510.63512040854846,0.0030305095598884614,2048,False
gesichtsmaske,s63142,329.79047770206097,510.0042967820278,0.0030342178112396133,2048,False
fuß,s33599,329.80375335217246,510.0342029977942,0.0030340393244011046,2048,True
fuß,s6390,329.9499995828411,510.4253160948494,0.003031736176790534,2048,False
fuß,s26149,330.13647476382585,510.8398140365779,0.0030289690666573357,2048,True
fuß,s110427,329.7205064044917,509.81438843469493,0.0030352847679777696,2048,True
flügel,s73727,329.82426749156934,510.09136021362303,0.0030336747251738247,2048,False
flügel,s12102,329.9019374298632,510.28920477528504,0.003032544652438827,2048,True
flügel,s26446,330.0909041362299,510.7346700205839,0.0030296394138767044,2048,True
flügel,s11625,329.80493555565425,510.0666489360443,0.0030340014588196127,2048,True
flügel,s73683,329.8103093035511,510.06858021713873,0.003033925572882258,2048,True
flügel,s23151,330.0769325044906,510.7104638825435,0.003029841730765428,2048,True
flügel,s9697,329.90991991712104,510.3263034092953,0.0030324048467042205,2048,True
kurs,s13438,330.1258670062121,510.82258424677576,0.0030291230937232877,2048,True
kurs,s41951,329.9555134994633,510.4158807565305,0.003031733002625313,2048,True
kurs,s41895,330.06736361345037,510.6819545944919,0.0030299773132447527,2048,True
kurs,s30016,330.12041196870223,510.8093893661249,0.003029203791448231,2048,True
klima,s14251,330.07654337057903,510.7199162547531,0.0030298464168968223,2048,True
klima,s41205,330.05897723428933,510.6555336984003,0.0030301081404591587,2048,True
tor,s10304,330.1740520350137,510.93668981428925,0.003028406506087081,2048,True
tor,s10313,329.9203368200169,510.3636819589179,0.0030322071162800445,2048,False
tor,s33154,329.9980311551049,510.52362132846434,0.0030310789848146283,2048,True
tor,s37889,329.90634245875515,510.29108026850025,0.003032469265595713,2048,True
schimmel,s50922,330.1235293612639,510.81498352784797,0.0030291466393991603,2048,True
schimmel,s47572,330.0248799586832,510.57071645861436,0.0030306555038099527,2048,True
richtung,s27305,330.15364387343436,510.8875373467901,0.0030287101221666947,2048,True
richtung,s51065,330.0161948475526,510.5840835756671,0.003030699005674203,2048,True
richtung,s41895,330.05296829006,510.6428028776997,0.0030302128996400985,2048,True
bank,s69017,329.79879161870645,510.0644858278735,0.0030340150849332967,2048,True
bank,s9650,329.9072195371587,510.2972526261038,0.0030324875326991595,2048,True
bank,s25245,330.2156325550711,511.0409580446519,0.003027781961753005,2048,True
bank,s6399,330.0212101347656,510.5591205876251,0.0030307155525986246,2048,True
zeitung,s10649,330.1545209578426,510.8862825752803,0.003028699057244968,2048,True
zeitung,s29644,330.09717864086656,510.7469615753205,0.0030295458382186553,2048,True
