event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1961-1970,7.184069269785778,0.042,6,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
1,1901-1910,1971-1980,6.609911361124339,0.036,7,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
2,1901-1910,1981-1990,6.714840034878199,0.031,8,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
3,1901-1910,1991-2000,7.080857155865116,0.04,9,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
4,1901-1910,2001-2010,7.264526066921814,0.012,10,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
5,1911-1920,1961-1970,7.278254928137314,0.039,5,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
6,1911-1920,1971-1980,7.04829903779302,0.031,6,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
7,1911-1920,1981-1990,7.321047438604666,0.013,7,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
8,1911-1920,1991-2000,7.7000426430252435,0.013,8,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
9,1911-1920,2001-2010,8.086275554569179,0.007,9,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
10,1911-1920,2011-2018,7.986050658315927,0.021,10,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
11,1921-1930,2001-2010,5.648199184460822,0.015,8,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
12,1951-1960,2001-2010,5.299272756651484,0.022,5,"1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
13,1951-1960,2011-2018,5.869725112958538,0.016,6,"1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
