timespan_1,timespan_2,distance,drift_magnitude,p_value
1911-1920,2001-2010,9,8.086275554569179,0.007
1901-1910,2001-2010,10,7.264526066921814,0.012
1911-1920,1991-2000,8,7.7000426430252435,0.013
1911-1920,1981-1990,7,7.321047438604666,0.013
1921-1930,2001-2010,8,5.648199184460822,0.015
1951-1960,2011-2018,6,5.869725112958538,0.016
1911-1920,2011-2018,10,7.986050658315927,0.021
1951-1960,2001-2010,5,5.299272756651484,0.022
1911-1920,1971-1980,6,7.04829903779302,0.031
1901-1910,1981-1990,8,6.714840034878199,0.031
1901-1910,1971-1980,7,6.609911361124339,0.036
1911-1920,1961-1970,5,7.278254928137314,0.039
1901-1910,1991-2000,9,7.080857155865116,0.04
1901-1910,1961-1970,6,7.184069269785778,0.042
