,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2011-2018
1901-1910,0.0,0.497,0.778,0.508,0.769,0.787,0.139,0.54,0.12,0.692,0.489
1911-1920,0.497,0.0,1.0,0.362,0.922,1.0,0.685,1.0,0.671,1.0,0.126
1921-1930,0.778,1.0,0.0,0.688,0.703,1.0,0.491,1.0,1.0,1.0,0.417
1931-1940,0.508,0.362,0.688,0.0,0.55,0.605,0.077,0.403,0.211,0.501,0.333
1941-1950,0.769,0.922,0.703,0.55,0.0,1.0,0.67,1.0,0.132,0.692,0.692
1951-1960,0.787,1.0,1.0,0.605,1.0,0.0,0.747,1.0,1.0,1.0,0.405
1961-1970,0.139,0.685,0.491,0.077,0.67,0.747,0.0,0.898,0.253,0.492,0.029
1971-1980,0.54,1.0,1.0,0.403,1.0,1.0,0.898,0.0,0.353,1.0,0.35
1981-1990,0.12,0.671,1.0,0.211,0.132,1.0,0.253,0.353,0.0,1.0,0.222
1991-2000,0.692,1.0,1.0,0.501,0.692,1.0,0.492,1.0,1.0,0.0,0.417
2011-2018,0.489,0.126,0.417,0.333,0.692,0.405,0.029,0.35,0.222,0.417,0.0
