,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,9.424617342438065,7.581370529319478,10.65079520830696,8.453864316195336,9.065404571774481,6.922094055412784,6.940690860658643,9.405110284011469,8.165978374748784,10.241186984880265,9.504794042951028
1911-1920,9.424617342438065,0.0,6.951694209242634,7.116952191519522,6.931760015077764,7.333683685040597,10.415209366948483,9.229150046933324,8.47678597886556,8.0252281977111,8.686378489272284,7.04755273077965
1921-1930,7.581370529319478,6.951694209242634,0.0,8.33218632287548,5.334832972581413,6.338251943031093,7.369024319852788,7.036782033699557,8.271374090158758,6.629991473881677,7.148081255247155,6.1275747060024095
1931-1940,10.65079520830696,7.116952191519522,8.33218632287548,0.0,7.929933018431083,8.031812770705812,11.278252029767787,10.342337267266515,8.539550246800347,8.050834827233777,8.90569789384851,7.667388378635011
1941-1950,8.453864316195336,6.931760015077764,5.334832972581413,7.929933018431083,0.0,6.071686749760897,8.012807161418143,7.702013901280536,7.87465057947278,6.314084512122484,7.405469181464883,6.140952338128037
1951-1960,9.065404571774481,7.333683685040597,6.338251943031093,8.031812770705812,6.071686749760897,0.0,8.218860157683721,8.819232405546918,8.843575579790599,6.699874554003784,7.904281007716144,6.920373143575143
1961-1970,6.922094055412784,10.415209366948483,7.369024319852788,11.278252029767787,8.012807161418143,8.218860157683721,0.0,6.175756267921493,9.467539841428408,7.26199137597744,9.672888731793176,9.124046439579265
1971-1980,6.940690860658643,9.229150046933324,7.036782033699557,10.342337267266515,7.702013901280536,8.819232405546918,6.175756267921493,0.0,8.056321716949908,7.173514345647597,9.268016287928631,8.368432490491548
1981-1990,9.405110284011469,8.47678597886556,8.271374090158758,8.539550246800347,7.87465057947278,8.843575579790599,9.467539841428408,8.056321716949908,0.0,5.849925949857921,6.385586020885888,5.91545251076787
1991-2000,8.165978374748784,8.0252281977111,6.629991473881677,8.050834827233777,6.314084512122484,6.699874554003784,7.26199137597744,7.173514345647597,5.849925949857921,0.0,4.86744169022931,4.678045474446259
2001-2010,10.241186984880265,8.686378489272284,7.148081255247155,8.90569789384851,7.405469181464883,7.904281007716144,9.672888731793176,9.268016287928631,6.385586020885888,4.86744169022931,0.0,3.8458419678327216
2011-2018,9.504794042951028,7.04755273077965,6.1275747060024095,7.667388378635011,6.140952338128037,6.920373143575143,9.124046439579265,8.368432490491548,5.91545251076787,4.678045474446259,3.8458419678327216,0.0
