,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,5.4048386072062975,5.657562440709111,5.284948884844471,8.663621826467915,5.5314036960680815,7.198424774461698,6.696774331220382,9.47147058915678,4.7385670666559685,3.8041783227606545,5.070930789037265
1911-1920,5.4048386072062975,0.0,4.590367824114303,5.943849190814621,7.283606859069655,6.030280289434445,7.35831649060203,9.103475688613642,9.788466485510634,5.9667601537514185,5.888232550225949,6.749782851160962
1921-1930,5.657562440709111,4.590367824114303,0.0,6.449273958716569,8.368679344543336,6.468693008788412,7.5037326057203835,9.608286887982748,9.826219296129272,6.44066408038656,6.324527961952686,7.177159232748043
1931-1940,5.284948884844471,5.943849190814621,6.449273958716569,0.0,8.597020613435909,6.469766645522161,7.826714223344986,8.509962638335189,10.682832061736672,6.497099021440468,5.473314213175519,6.037242588070669
1941-1950,8.663621826467915,7.283606859069655,8.368679344543336,8.597020613435909,0.0,9.1464709192135,10.229241006792584,11.263519256262677,12.14752759459948,9.402145102518153,9.132613927049093,9.911423401358064
1951-1960,5.5314036960680815,6.030280289434445,6.468693008788412,6.469766645522161,9.1464709192135,0.0,7.498164479657913,8.872013179974692,9.82024011805125,5.724867086185665,5.131800444024117,5.229904463938404
1961-1970,7.198424774461698,7.35831649060203,7.5037326057203835,7.826714223344986,10.229241006792584,7.498164479657913,0.0,8.752019469329563,9.518780548486568,6.754111111961066,6.716633934288762,6.379038879556043
1971-1980,6.696774331220382,9.103475688613642,9.608286887982748,8.509962638335189,11.263519256262677,8.872013179974692,8.752019469329563,0.0,11.087368414477282,8.018165673727284,6.374783957211298,7.029615534549428
1981-1990,9.47147058915678,9.788466485510634,9.826219296129272,10.682832061736672,12.14752759459948,9.82024011805125,9.518780548486568,11.087368414477282,0.0,9.698788185568862,9.066629402484415,9.164364547683544
1991-2000,4.7385670666559685,5.9667601537514185,6.44066408038656,6.497099021440468,9.402145102518153,5.724867086185665,6.754111111961066,8.018165673727284,9.698788185568862,0.0,3.7677451478844417,4.495787829787564
2001-2010,3.8041783227606545,5.888232550225949,6.324527961952686,5.473314213175519,9.132613927049093,5.131800444024117,6.716633934288762,6.374783957211298,9.066629402484415,3.7677451478844417,0.0,3.555482883212509
2011-2018,5.070930789037265,6.749782851160962,7.177159232748043,6.037242588070669,9.911423401358064,5.229904463938404,6.379038879556043,7.029615534549428,9.164364547683544,4.495787829787564,3.555482883212509,0.0
