synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s6399,bank,1901-1910,1911-1920,0.01429189058840683,0.08826378199866426
s6399,bank,1911-1920,1921-1930,0.030909115792203814,1.0381192667128838
s6399,bank,1921-1930,1931-1940,0.06322807096718441,0.6382714120392413
s6399,bank,1931-1940,1941-1950,0.02408509248920028,0.21038145266003752
s6399,bank,1941-1950,1951-1960,0.044049077285608806,0.10794043377761729
s6399,bank,1951-1960,1961-1970,0.033946418586415256,0.5901887066039254
s6399,bank,1961-1970,1971-1980,0.06229434073780091,0.5835034209833425
s6399,bank,1971-1980,1981-1990,0.03144174984791729,0.110731637647703
s6399,bank,1981-1990,1991-2000,0.14872872504098628,0.5909875208821693
s6399,bank,1991-2000,2001-2010,0.006779506362640155,0.1717751511674772
