,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,2.683931870372788,3.223801888453236,2.949980919127473,3.7875262435766763,4.107206075899562,4.249090504530438,4.976400220782399,4.241707850649611,4.684270970852395,4.670769038423726,5.576899714738797
1911-1920,2.683931870372788,0.0,2.6127842599131013,2.713251386117114,2.730390009719582,4.113885225823445,3.3866526761507547,4.195391085082937,3.172164693642705,4.039031815014997,3.750117614670467,5.933394818359196
1921-1930,3.223801888453236,2.6127842599131013,0.0,2.537645669468387,3.385606488660479,3.198179152784882,3.3210366885504836,3.3057859123874382,3.1449801433832696,3.5550334945227253,3.7894115683674436,5.590817395817731
1931-1940,2.949980919127473,2.713251386117114,2.537645669468387,0.0,3.327336795456048,3.205347857574358,3.510083951225871,4.243812879224685,3.668547597187837,3.714770082633242,3.8103420720645644,4.813717740255699
1941-1950,3.7875262435766763,2.730390009719582,3.385606488660479,3.327336795456048,0.0,4.619543470668273,3.7140120779887096,4.811011171745425,3.5677356771632214,4.2470519149280435,3.57653560738867,5.969744467020888
1951-1960,4.107206075899562,4.113885225823445,3.198179152784882,3.205347857574358,4.619543470668273,0.0,4.034422750015242,4.0035141859703405,4.319319659940165,3.691777433555608,4.822428726047797,4.676966211021868
1961-1970,4.249090504530438,3.3866526761507547,3.3210366885504836,3.510083951225871,3.7140120779887096,4.034422750015242,0.0,4.199779696308715,3.8942336200745946,4.387653055647653,4.315602386261667,5.973505191397305
1971-1980,4.976400220782399,4.195391085082937,3.3057859123874382,4.243812879224685,4.811011171745425,4.0035141859703405,4.199779696308715,0.0,4.028034799439596,3.783501451705645,4.549976694512589,6.169485003624734
1981-1990,4.241707850649611,3.172164693642705,3.1449801433832696,3.668547597187837,3.5677356771632214,4.319319659940165,3.8942336200745946,4.028034799439596,0.0,3.8800984927357707,4.033275181012922,5.979986776497539
1991-2000,4.684270970852395,4.039031815014997,3.5550334945227253,3.714770082633242,4.2470519149280435,3.691777433555608,4.387653055647653,3.783501451705645,3.8800984927357707,0.0,3.6818146998683883,4.389857808574703
2001-2010,4.670769038423726,3.750117614670467,3.7894115683674436,3.8103420720645644,3.57653560738867,4.822428726047797,4.315602386261667,4.549976694512589,4.033275181012922,3.6818146998683883,0.0,5.140236275914551
2011-2018,5.576899714738797,5.933394818359196,5.590817395817731,4.813717740255699,5.969744467020888,4.676966211021868,5.973505191397305,6.169485003624734,5.979986776497539,4.389857808574703,5.140236275914551,0.0
