synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s11270,blatt,1901-1910,1911-1920,0.018977362158691558,0.0501799468972766
s11270,blatt,1911-1920,1921-1930,0.01781650469367837,0.10093366138260076
s11270,blatt,1921-1930,1931-1940,0.010068402390154132,0.04104110593770683
s11270,blatt,1931-1940,1941-1950,0.03138150300751282,0.5294213401930247
s11270,blatt,1941-1950,1951-1960,0.017116017934647874,0.3926923343284449
s11270,blatt,1951-1960,1961-1970,0.017692388292266412,0.28688732467403844
s11270,blatt,1961-1970,1971-1980,0.008144506244784114,0.34763455944125743
s11270,blatt,1971-1980,1981-1990,0.04405520541230608,0.16367507866174086
s11270,blatt,1981-1990,1991-2000,0.00935443046138189,0.13496058880450293
s11270,blatt,1991-2000,2001-2010,0.05663675005726122,0.9794249391038313
