,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.415,0.131,0.209,0.009,0.136,0.0,0.227,0.145,0.355,0.253,0.0
1911-1920,0.415,0.0,0.246,0.381,0.02,0.04,0.001,0.302,0.25,0.749,0.528,0.0
1921-1930,0.131,0.246,0.0,0.93,0.46,0.169,0.041,0.433,0.073,0.148,0.242,0.156
1931-1940,0.209,0.381,0.93,0.0,0.228,0.255,0.02,0.495,0.037,0.094,0.272,0.035
1941-1950,0.009,0.02,0.46,0.228,0.0,0.045,0.057,0.185,0.049,0.077,0.116,0.111
1951-1960,0.136,0.04,0.169,0.255,0.045,0.0,0.002,0.244,0.077,0.041,0.18,0.007
1961-1970,0.0,0.001,0.041,0.02,0.057,0.002,0.0,0.045,0.001,0.001,0.009,0.849
1971-1980,0.227,0.302,0.433,0.495,0.185,0.244,0.045,0.0,0.104,0.199,0.235,0.072
1981-1990,0.145,0.25,0.073,0.037,0.049,0.077,0.001,0.104,0.0,0.748,0.341,0.006
1991-2000,0.355,0.749,0.148,0.094,0.077,0.041,0.001,0.199,0.748,0.0,0.624,0.001
2001-2010,0.253,0.528,0.242,0.272,0.116,0.18,0.009,0.235,0.341,0.624,0.0,0.009
2011-2018,0.0,0.0,0.156,0.035,0.111,0.007,0.849,0.072,0.006,0.001,0.009,0.0
