timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,1961-1970,6,8.358083107550046,0.0
1901-1910,2011-2018,11,7.532270195629186,0.0
1911-1920,2011-2018,10,7.473480458127628,0.0
1911-1920,1961-1970,5,8.215141015346486,0.001
1961-1970,1991-2000,3,9.544286433970333,0.001
1991-2000,2011-2018,2,8.798368980541124,0.001
1961-1970,1981-1990,2,11.477617467571312,0.001
1951-1960,1961-1970,1,8.02671221100982,0.002
1981-1990,2011-2018,3,10.607510427987286,0.006
1951-1960,2011-2018,6,6.941448612812073,0.007
1961-1970,2001-2010,4,7.396113077958341,0.009
2001-2010,2011-2018,1,6.510193254445246,0.009
1901-1910,1941-1950,4,5.249189560360593,0.009
1911-1920,1941-1950,3,5.392892579704123,0.02
1931-1940,1961-1970,3,5.878990829554693,0.02
1931-1940,2011-2018,8,5.188699096231881,0.035
1931-1940,1981-1990,5,8.650381790519067,0.037
1911-1920,1951-1960,4,6.592315046278935,0.04
1951-1960,1991-2000,4,8.021815779883912,0.041
1921-1930,1961-1970,4,5.811730072735161,0.041
1961-1970,1971-1980,1,6.951231735958148,0.045
1941-1950,1951-1960,1,6.0436785581621075,0.045
1941-1950,1981-1990,4,8.028538870959848,0.049
