event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1931-1940,7.937628111724206,0.033,3,"1911-1920,1921-1930,1931-1940",sudden_shift
1,1901-1910,1941-1950,10.735219639757808,0.018,4,"1911-1920,1921-1930,1931-1940,1941-1950",sudden_shift
2,1901-1910,1961-1970,7.511918902416555,0.009,6,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
3,1901-1910,1971-1980,7.272316228841502,0.023,7,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
4,1901-1910,2001-2010,7.979124074103669,0.036,10,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
5,1921-1930,1961-1970,6.453249171495813,0.008,4,"1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
6,1921-1930,1971-1980,6.375251471923809,0.034,5,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
7,1941-1950,1961-1970,7.580746931172863,0.003,2,"1951-1960,1961-1970",sudden_shift
8,1941-1950,1971-1980,7.964745322700452,0.006,3,"1951-1960,1961-1970,1971-1980",sudden_shift
9,1941-1950,1981-1990,7.333378209030624,0.014,4,"1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
10,1941-1950,2001-2010,7.362456771199174,0.04,6,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
11,1941-1950,2011-2018,8.351787323542748,0.043,7,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
12,1961-1970,2001-2010,6.225318872833338,0.002,4,"1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
13,1961-1970,2011-2018,6.502598102719952,0.012,5,"1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
14,1971-1980,2001-2010,6.238921114930371,0.017,3,"1981-1990,1991-2000,2001-2010",sudden_shift
