,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.037,0.093,0.004,0.497,0.286,0.0,0.67,0.084,0.007,0.069,0.04
1911-1920,0.037,0.0,0.667,0.421,0.645,0.41,0.139,0.732,0.383,0.488,0.588,0.611
1921-1930,0.093,0.667,0.0,0.249,0.621,0.329,0.383,0.389,0.771,0.593,0.284,0.589
1931-1940,0.004,0.421,0.249,0.0,0.524,0.115,0.649,0.148,0.172,0.633,0.748,0.096
1941-1950,0.497,0.645,0.621,0.524,0.0,0.975,0.258,0.401,0.417,0.386,0.396,0.495
1951-1960,0.286,0.41,0.329,0.115,0.975,0.0,0.08,0.809,0.23,0.142,0.189,0.621
1961-1970,0.0,0.139,0.383,0.649,0.258,0.08,0.0,0.12,0.42,1.0,0.317,0.269
1971-1980,0.67,0.732,0.389,0.148,0.401,0.809,0.12,0.0,0.289,0.135,0.589,0.308
1981-1990,0.084,0.383,0.771,0.172,0.417,0.23,0.42,0.289,0.0,0.417,0.287,0.274
1991-2000,0.007,0.488,0.593,0.633,0.386,0.142,1.0,0.135,0.417,0.0,0.358,0.718
2001-2010,0.069,0.588,0.284,0.748,0.396,0.189,0.317,0.589,0.287,0.358,0.0,0.28
2011-2018,0.04,0.611,0.589,0.096,0.495,0.621,0.269,0.308,0.274,0.718,0.28,0.0
