synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s9544,block,1901-1910,1911-1920,0.2892708375660126,0.3971894257345066
s9544,block,1911-1920,1921-1930,0.023173576025696786,0.4405390632969734
s9544,block,1921-1930,1931-1940,0.07666952267493884,0.21303630258318332
s9544,block,1931-1940,1941-1950,0.06833489516036416,0.1817601812994636
s9544,block,1941-1950,1951-1960,0.02904534328404416,0.46128522557288537
s9544,block,1951-1960,1961-1970,0.030489379764752148,0.2792742382309675
s9544,block,1961-1970,1971-1980,0.012699467169576631,0.2991599261194285
s9544,block,1971-1980,1981-1990,0.05238922357699764,0.25173508384377835
s9544,block,1981-1990,1991-2000,0.0063084459120197585,0.26266781453161886
s9544,block,1991-2000,2001-2010,0.013003698507395602,0.44405857922561875
