,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,12.039650673782035,13.02377263919079,18.197597359817884,19.72721089200595,11.087877465456259,20.340253628198692,19.289981992700028,18.58269711335477,16.077081480015988,16.77447886101413,17.146655589833568
1911-1920,12.039650673782035,0.0,7.691471197249082,11.55390897001733,14.426292665314156,8.514991728994515,19.443013122510585,12.181279979701614,16.732605468513455,10.706201551911432,9.538885217191059,9.988275632169236
1921-1930,13.02377263919079,7.691471197249082,0.0,8.549299262009136,11.768550517500671,8.584031815763504,16.23001306820083,12.715191699820679,14.529891422180716,7.738260003168777,7.47065171333873,8.068232907841077
1931-1940,18.197597359817884,11.55390897001733,8.549299262009136,0.0,10.26912333917125,13.030646860806659,17.28722082387118,12.123785420186262,17.327227046485238,8.213935562395388,7.953202956887954,8.38556677048962
1941-1950,19.72721089200595,14.426292665314156,11.768550517500671,10.26912333917125,0.0,15.364769096102014,18.924351924514784,15.548488688620516,18.905090021645968,10.917044320061128,11.777834136504392,11.212891071455918
1951-1960,11.087877465456259,8.514991728994515,8.584031815763504,13.030646860806659,15.364769096102014,0.0,15.991386309202888,14.759868062809375,15.239891055584621,11.089537223254982,12.596549365258317,12.177735706480014
1961-1970,20.340253628198692,19.443013122510585,16.23001306820083,17.28722082387118,18.924351924514784,15.991386309202888,0.0,21.49190157224509,18.863763510065983,15.141213318103686,19.098298084062023,17.68486322397334
1971-1980,19.289981992700028,12.181279979701614,12.715191699820679,12.123785420186262,15.548488688620516,14.759868062809375,21.49190157224509,0.0,20.067711138347825,12.866763787682444,11.801719294070972,12.051963723368157
1981-1990,18.58269711335477,16.732605468513455,14.529891422180716,17.327227046485238,18.905090021645968,15.239891055584621,18.863763510065983,20.067711138347825,0.0,14.68480085107878,16.87100325193879,16.323413959165677
1991-2000,16.077081480015988,10.706201551911432,7.738260003168777,8.213935562395388,10.917044320061128,11.089537223254982,15.141213318103686,12.866763787682444,14.68480085107878,0.0,8.213982932438421,6.973850986806679
2001-2010,16.77447886101413,9.538885217191059,7.47065171333873,7.953202956887954,11.777834136504392,12.596549365258317,19.098298084062023,11.801719294070972,16.87100325193879,8.213982932438421,0.0,7.115088523583061
2011-2018,17.146655589833568,9.988275632169236,8.068232907841077,8.38556677048962,11.212891071455918,12.177735706480014,17.68486322397334,12.051963723368157,16.323413959165677,6.973850986806679,7.115088523583061,0.0
