,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.581,0.281,0.326,1.0,0.787,0.674,1.0,0.704,0.043,0.043,0.065
1911-1920,0.581,0.0,0.865,0.81,0.758,0.89,0.489,1.0,0.289,0.396,0.36,0.597
1921-1930,0.281,0.865,0.0,1.0,0.753,0.797,0.507,0.603,0.2,0.639,0.424,0.667
1931-1940,0.326,0.81,1.0,0.0,1.0,0.713,0.326,0.673,0.332,1.0,0.739,0.903
1941-1950,1.0,0.758,0.753,1.0,0.0,0.758,1.0,1.0,0.693,1.0,0.417,1.0
1951-1960,0.787,0.89,0.797,0.713,0.758,0.0,1.0,1.0,0.808,0.481,0.036,0.293
1961-1970,0.674,0.489,0.507,0.326,1.0,1.0,0.0,1.0,1.0,0.51,0.135,0.209
1971-1980,1.0,1.0,0.603,0.673,1.0,1.0,1.0,0.0,0.697,0.822,0.433,0.798
1981-1990,0.704,0.289,0.2,0.332,0.693,0.808,1.0,0.697,0.0,0.141,0.064,0.06
1991-2000,0.043,0.396,0.639,1.0,1.0,0.481,0.51,0.822,0.141,0.0,0.262,0.832
2001-2010,0.043,0.36,0.424,0.739,0.417,0.036,0.135,0.433,0.064,0.262,0.0,0.584
2011-2018,0.065,0.597,0.667,0.903,1.0,0.293,0.209,0.798,0.06,0.832,0.584,0.0
