synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s26149,fuß,1901-1910,1911-1920,0.05920638872706382,0.2531246493403615
s26149,fuß,1911-1920,1921-1930,0.013248556860777872,0.5431496858581153
s26149,fuß,1921-1930,1931-1940,0.0172075994094418,0.653662768496209
s26149,fuß,1931-1940,1941-1950,0.0066449328997759075,0.5252497945817838
s26149,fuß,1941-1950,1951-1960,0.010732309355944563,0.0911581744930953
s26149,fuß,1951-1960,1961-1970,0.012851853323564618,0.0796228293544964
s26149,fuß,1961-1970,1971-1980,0.014182586992452862,0.13638675226808306
s26149,fuß,1971-1980,1981-1990,0.01897648355404965,0.9720821949432888
s26149,fuß,1981-1990,1991-2000,0.01589320894731828,0.4891552184003507
s26149,fuß,1991-2000,2001-2010,0.009079716133873027,0.06954685042876599
