timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,2011-2018,11,7.842376739263474,0.0
1941-1950,2011-2018,7,7.395783643167226,0.0
1921-1930,2011-2018,9,6.612987945648621,0.0
1911-1920,2011-2018,10,7.229178783182039,0.0
1941-1950,2001-2010,6,6.269881824913086,0.001
1901-1910,1951-1960,5,7.119347703935219,0.001
1931-1940,2011-2018,8,6.662490619119341,0.002
1901-1910,2001-2010,10,6.448572831331716,0.003
1911-1920,2001-2010,9,5.949461714965084,0.005
1971-1980,2011-2018,4,6.064179713312133,0.007
1931-1940,2001-2010,7,5.589392930922231,0.009
1901-1910,1981-1990,8,6.178691524973101,0.011
1951-1960,2011-2018,6,5.859750917151607,0.013
1901-1910,1911-1920,1,5.791011885932827,0.013
1931-1940,1951-1960,2,5.73116033828,0.016
1981-1990,2011-2018,3,6.036576728503498,0.019
1901-1910,1991-2000,9,6.197354228886925,0.02
1961-1970,2011-2018,5,5.671238126020861,0.029
1901-1910,1941-1950,4,5.273705575373886,0.03
1981-1990,2001-2010,2,5.815700961595333,0.035
1901-1910,1971-1980,7,5.362458449505356,0.036
1971-1980,2001-2010,3,5.366363969174041,0.038
