,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,12.185528327431193,13.118897606283355,16.55607984508016,17.91484739167046,17.960209528810676,18.573163503712227,18.670108368632846,12.589373066114865,12.408392423397272,12.81324377539336
1911-1920,12.185528327431193,0.0,11.541637633412165,14.134928324258178,15.871805916908022,17.81039682663679,15.961071803269459,16.35798207045949,10.87221241910776,9.348150965982923,10.650780068410848
1921-1930,13.118897606283355,11.541637633412165,0.0,16.184930220418895,16.68093222979692,19.007631104659474,18.464091464331307,17.698080902404236,12.500669512160435,11.701554399826087,12.111471620879202
1931-1940,16.55607984508016,14.134928324258178,16.184930220418895,0.0,16.31424229720416,19.880171647952125,16.64601213190024,13.172854387398287,10.545501557074155,9.970678947613205,11.28547051454341
1941-1950,17.91484739167046,15.871805916908022,16.68093222979692,16.31424229720416,0.0,22.222003752333997,20.983367229795316,18.180160738385002,13.084499951861677,12.05524567331995,13.845769113067822
1961-1970,17.960209528810676,17.81039682663679,19.007631104659474,19.880171647952125,22.222003752333997,0.0,20.409287488070504,21.445083019059073,17.312641598054203,16.970722890654137,16.692231167866083
1971-1980,18.573163503712227,15.961071803269459,18.464091464331307,16.64601213190024,20.983367229795316,20.409287488070504,0.0,15.403392039072715,15.031195967138338,14.313467419009426,15.697458928607073
1981-1990,18.670108368632846,16.35798207045949,17.698080902404236,13.172854387398287,18.180160738385002,21.445083019059073,15.403392039072715,0.0,12.646107510862855,11.719812559325879,12.592827865643079
1991-2000,12.589373066114865,10.87221241910776,12.500669512160435,10.545501557074155,13.084499951861677,17.312641598054203,15.031195967138338,12.646107510862855,0.0,4.87823194834002,7.732335302338982
2001-2010,12.408392423397272,9.348150965982923,11.701554399826087,9.970678947613205,12.05524567331995,16.970722890654137,14.313467419009426,11.719812559325879,4.87823194834002,0.0,6.480456840071994
2011-2018,12.81324377539336,10.650780068410848,12.111471620879202,11.28547051454341,13.845769113067822,16.692231167866083,15.697458928607073,12.592827865643079,7.732335302338982,6.480456840071994,0.0
