timespan_1,timespan_2,distance,drift_magnitude,p_value
1931-1940,1941-1950,1,6.875164056769654,0.0
1921-1930,2011-2018,9,8.338596033531372,0.005
1901-1910,1991-2000,9,7.499551044103591,0.006
1971-1980,1991-2000,2,7.939082842923593,0.006
1921-1930,1971-1980,5,7.829227856818691,0.008
1931-1940,1971-1980,4,6.998158964547141,0.01
1931-1940,2011-2018,8,7.753762994446553,0.012
1901-1910,1931-1940,3,5.770487375025026,0.012
1971-1980,2001-2010,3,7.9266880046359605,0.012
1941-1950,1971-1980,3,6.736652788029935,0.013
1911-1920,2011-2018,10,7.157782650170238,0.023
1911-1920,1941-1950,3,5.4176282710919645,0.023
1901-1910,2001-2010,10,7.467828714009489,0.024
1901-1910,2011-2018,11,6.699162137556744,0.026
1901-1910,1921-1930,2,5.831429757346197,0.034
1901-1910,1941-1950,4,5.617394827995134,0.034
1931-1940,1981-1990,5,6.7380288169469535,0.039
1921-1930,1941-1950,2,5.272791803947973,0.039
