,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.088,0.192,0.001,0.005,0.0,0.003,0.0,0.001,0.014,0.003,0.0
1911-1920,0.088,0.0,0.671,0.002,0.003,0.004,0.002,0.0,0.0,0.04,0.004,0.0
1921-1930,0.192,0.671,0.0,0.021,0.015,0.008,0.007,0.0,0.0,0.072,0.011,0.005
1931-1940,0.001,0.002,0.021,0.0,0.501,0.337,0.172,0.0,0.083,0.015,0.038,0.021
1941-1950,0.005,0.003,0.015,0.501,0.0,0.329,0.21,0.002,0.088,0.024,0.09,0.033
1951-1960,0.0,0.004,0.008,0.337,0.329,0.0,0.422,0.041,0.284,0.072,0.358,0.222
1961-1970,0.003,0.002,0.007,0.172,0.21,0.422,0.0,0.031,0.959,0.01,0.091,0.273
1971-1980,0.0,0.0,0.0,0.0,0.002,0.041,0.031,0.0,0.006,0.0,0.0,0.0
1981-1990,0.001,0.0,0.0,0.083,0.088,0.284,0.959,0.006,0.0,0.0,0.053,0.164
1991-2000,0.014,0.04,0.072,0.015,0.024,0.072,0.01,0.0,0.0,0.0,0.201,0.019
2001-2010,0.003,0.004,0.011,0.038,0.09,0.358,0.091,0.0,0.053,0.201,0.0,0.361
2011-2018,0.0,0.0,0.005,0.021,0.033,0.222,0.273,0.0,0.164,0.019,0.361,0.0
