synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s30016,kurs,1901-1910,1911-1920,0.004998290457558161,0.2608562875213263
s30016,kurs,1911-1920,1921-1930,0.029331578476775016,1.254323977505495
s30016,kurs,1921-1930,1931-1940,0.0069621367795699995,0.12757146549541426
s30016,kurs,1931-1940,1941-1950,0.025468896316041746,0.7250989620458361
s30016,kurs,1941-1950,1951-1960,0.011407356231577214,0.19244736859982822
s30016,kurs,1951-1960,1961-1970,0.014724664297796425,0.4668896016877629
s30016,kurs,1961-1970,1971-1980,0.007653495626051663,0.1419785802082446
s30016,kurs,1971-1980,1981-1990,0.015797137272143876,0.12171318996373147
s30016,kurs,1981-1990,1991-2000,0.05487728233568674,0.18764673446585842
s30016,kurs,1991-2000,2001-2010,0.07603666724756002,2.212543498734941
