timespan_1,timespan_2,distance,drift_magnitude,p_value
1961-1970,1991-2000,3,6.165931890726405,0.008
1931-1940,1991-2000,6,5.132359325771911,0.009
1921-1930,1991-2000,7,5.21510529882128,0.018
1921-1930,1961-1970,4,6.292271895146817,0.018
1901-1910,1991-2000,9,4.275760839075841,0.019
1911-1920,1961-1970,5,5.756960362934896,0.019
1911-1920,1991-2000,8,4.298226005473568,0.021
1961-1970,2001-2010,4,5.605916106314177,0.025
1911-1920,2001-2010,9,4.175956661109866,0.03
1961-1970,2011-2018,5,8.404869530907876,0.03
1901-1910,2001-2010,10,4.085805881115108,0.033
1931-1940,1961-1970,3,5.739550792772576,0.036
