synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s106689,maske,1901-1910,1911-1920,0.035056193325758274,0.0929746266240104
s106689,maske,1911-1920,1921-1930,0.0192726051377314,0.19546346990388416
s106689,maske,1921-1930,1931-1940,0.015328507941406748,0.36045956533903045
s106689,maske,1931-1940,1941-1950,0.009980023051604007,0.21663588999340944
s106689,maske,1941-1950,1951-1960,0.02112872016661811,0.051670618476866166
s106689,maske,1951-1960,1961-1970,0.04801802981845935,0.7768377579743099
s106689,maske,1961-1970,1971-1980,0.007885004524139852,0.1285594309550508
s106689,maske,1971-1980,1981-1990,0.025315709448531176,0.11178880047760398
s106689,maske,1981-1990,1991-2000,0.011235577918878697,0.4067667050043765
s106689,maske,1991-2000,2001-2010,0.006369367612445369,0.2182656132007717
