timespan_1,timespan_2,distance,drift_magnitude,p_value
1911-1920,1991-2000,8,5.642856594033185,0.0
1921-1930,1991-2000,7,6.64052431979685,0.0
1951-1960,1991-2000,4,5.587268645584948,0.0
1981-1990,1991-2000,1,4.773197854982208,0.002
1921-1930,2001-2010,8,5.400776915122526,0.003
1941-1950,1991-2000,5,4.630435703410214,0.003
1921-1930,2011-2018,9,6.158657636820268,0.004
1901-1910,1991-2000,9,4.559835983985708,0.004
1931-1940,1991-2000,6,5.096296773931358,0.006
1911-1920,2001-2010,9,4.677148623302437,0.012
1961-1970,1991-2000,3,4.396372251972197,0.017
1921-1930,1971-1980,5,5.164836564773684,0.019
1951-1960,2011-2018,6,5.746295921998259,0.021
1951-1960,2001-2010,5,4.500617666641556,0.021
1971-1980,1991-2000,2,3.7825594850893336,0.038
