,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.014,0.619,0.362,0.128,0.001,0.002,0.039,0.094,0.009,0.241,0.001
1911-1920,0.014,0.0,0.864,0.106,0.505,0.235,0.076,0.308,0.145,0.165,0.362,0.284
1921-1930,0.619,0.864,0.0,0.697,0.862,0.269,0.302,0.868,0.623,0.349,0.993,0.562
1931-1940,0.362,0.106,0.697,0.0,0.117,0.009,0.172,0.08,0.248,0.05,0.322,0.103
1941-1950,0.128,0.505,0.862,0.117,0.0,0.926,0.378,0.582,0.2,0.614,0.315,0.349
1951-1960,0.001,0.235,0.269,0.009,0.926,0.0,0.053,0.109,0.01,0.214,0.04,0.277
1961-1970,0.002,0.076,0.302,0.172,0.378,0.053,0.0,0.05,0.062,0.202,0.056,0.265
1971-1980,0.039,0.308,0.868,0.08,0.582,0.109,0.05,0.0,0.558,0.249,0.275,0.235
1981-1990,0.094,0.145,0.623,0.248,0.2,0.01,0.062,0.558,0.0,0.159,0.219,0.049
1991-2000,0.009,0.165,0.349,0.05,0.614,0.214,0.202,0.249,0.159,0.0,0.083,0.631
2001-2010,0.241,0.362,0.993,0.322,0.315,0.04,0.056,0.275,0.219,0.083,0.0,0.161
2011-2018,0.001,0.284,0.562,0.103,0.349,0.277,0.265,0.235,0.049,0.631,0.161,0.0
