,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.75,0.32,0.747,0.23,0.124,0.173,0.001,0.001,0.013,0.014,0.002
1911-1920,0.75,0.0,0.15,0.633,0.855,0.499,0.587,0.296,0.437,0.263,0.394,0.073
1921-1930,0.32,0.15,0.0,0.572,0.038,0.094,0.092,0.001,0.0,0.01,0.002,0.004
1931-1940,0.747,0.633,0.572,0.0,0.242,0.256,0.37,0.016,0.028,0.025,0.043,0.019
1941-1950,0.23,0.855,0.038,0.242,0.0,0.041,0.232,0.036,0.344,0.036,0.116,0.013
1951-1960,0.124,0.499,0.094,0.256,0.041,0.0,0.619,0.436,0.025,0.562,0.642,0.701
1961-1970,0.173,0.587,0.092,0.37,0.232,0.619,0.0,0.54,0.112,0.756,0.527,0.204
1971-1980,0.001,0.296,0.001,0.016,0.036,0.436,0.54,0.0,0.016,0.671,0.739,0.145
1981-1990,0.001,0.437,0.0,0.028,0.344,0.025,0.112,0.016,0.0,0.011,0.031,0.0
1991-2000,0.013,0.263,0.01,0.025,0.036,0.562,0.756,0.671,0.011,0.0,0.459,0.463
2001-2010,0.014,0.394,0.002,0.043,0.116,0.642,0.527,0.739,0.031,0.459,0.0,0.262
2011-2018,0.002,0.073,0.004,0.019,0.013,0.701,0.204,0.145,0.0,0.463,0.262,0.0
