synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s37889,tor,1901-1910,1911-1920,0.08601129801934347,0.515432430613744
s37889,tor,1911-1920,1921-1930,0.030520502637292734,0.08746868897863253
s37889,tor,1921-1930,1931-1940,0.03486334942131397,0.2598433144828656
s37889,tor,1931-1940,1941-1950,0.03370136111966746,0.3755062304546804
s37889,tor,1941-1950,1951-1960,0.016862004536657576,0.16900793178778037
s37889,tor,1951-1960,1961-1970,0.1012282453726281,0.15574163671406657
s37889,tor,1961-1970,1971-1980,0.045163711558886155,0.5762599544774193
s37889,tor,1971-1980,1981-1990,0.05043882719774605,0.08490096457093424
s37889,tor,1981-1990,1991-2000,0.09938458289466669,0.31430807747740164
s37889,tor,1991-2000,2001-2010,0.02013398342594035,0.10473154415594761
