,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.594,0.552,0.634,0.768,0.613,0.947,0.344,0.538,0.339,0.055,0.265
1911-1920,0.594,0.0,0.4,0.686,1.0,0.338,0.376,0.388,1.0,0.289,0.043,0.286
1921-1930,0.552,0.4,0.0,0.973,0.828,0.298,0.206,0.128,0.625,0.36,0.027,0.378
1931-1940,0.634,0.686,0.973,0.0,0.763,0.706,0.439,0.327,0.663,0.936,0.493,0.631
1941-1950,0.768,1.0,0.828,0.763,0.0,0.4,0.306,0.655,1.0,0.892,0.243,0.864
1951-1960,0.613,0.338,0.298,0.706,0.4,0.0,0.713,0.132,0.807,0.379,0.374,0.14
1961-1970,0.947,0.376,0.206,0.439,0.306,0.713,0.0,0.707,0.666,0.102,0.043,0.079
1971-1980,0.344,0.388,0.128,0.327,0.655,0.132,0.707,0.0,1.0,0.042,0.042,0.157
1981-1990,0.538,1.0,0.625,0.663,1.0,0.807,0.666,1.0,0.0,0.75,0.563,0.799
1991-2000,0.339,0.289,0.36,0.936,0.892,0.379,0.102,0.042,0.75,0.0,0.482,0.175
2001-2010,0.055,0.043,0.027,0.493,0.243,0.374,0.043,0.042,0.563,0.482,0.0,0.009
2011-2018,0.265,0.286,0.378,0.631,0.864,0.14,0.079,0.157,0.799,0.175,0.009,0.0
