synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s29644,zeitung,1901-1910,1911-1920,0.015726876419469616,0.19783723459269786
s29644,zeitung,1911-1920,1921-1930,0.03251357580757788,0.4494961898688687
s29644,zeitung,1921-1930,1931-1940,0.04919810992573351,0.18856293375156452
s29644,zeitung,1931-1940,1941-1950,0.043225799203714665,0.9156595635450637
s29644,zeitung,1941-1950,1951-1960,0.04234709351476949,0.11349220210671786
s29644,zeitung,1951-1960,1961-1970,0.024408186703547587,0.5247882195667388
s29644,zeitung,1961-1970,1971-1980,0.019427141500684215,0.06335826935453258
s29644,zeitung,1971-1980,1981-1990,0.054782184451483654,1.5635669017016443
s29644,zeitung,1981-1990,1991-2000,0.03129653907624002,0.5137411149886814
s29644,zeitung,1991-2000,2001-2010,0.06362901711628491,0.15932446877262682
