,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2011-2018
1901-1910,0.0,6.8539702912238125,8.373574454538797,5.8155554177063316,6.6136112539039384,6.433970784576754,7.558695001090252,9.235396501442729,10.436102138289241,9.088861898006618,5.7081285807225575
1911-1920,6.8539702912238125,0.0,10.117216667232448,8.367515739613163,9.422094055089122,8.763354921841207,10.068074656534957,11.621694513716744,12.902229740887206,11.775511664394216,8.145597906448597
1921-1930,8.373574454538797,10.117216667232448,0.0,6.133141878901072,8.01612033279354,8.272048749318428,11.729870987087256,9.92300115810728,11.49249032023769,9.92523701005171,7.228895700859161
1931-1940,5.8155554177063316,8.367515739613163,6.133141878901072,0.0,5.799995455568911,8.085261844252564,9.307780755137543,9.109689748820939,9.354208326901823,7.864335095234024,4.5092174072001345
1941-1950,6.6136112539039384,9.422094055089122,8.01612033279354,5.799995455568911,0.0,8.000139827900464,9.016870282977855,8.336108370566551,10.448379340668385,8.942167136063407,4.994639905357762
1951-1960,6.433970784576754,8.763354921841207,8.272048749318428,8.085261844252564,8.000139827900464,0.0,7.770292294364679,8.362594178137762,10.21341227787682,10.187489138729003,7.215493030078314
1961-1970,7.558695001090252,10.068074656534957,11.729870987087256,9.307780755137543,9.016870282977855,7.770292294364679,0.0,10.881273350125172,8.882237082659271,9.957020704923963,8.52995895779732
1971-1980,9.235396501442729,11.621694513716744,9.92300115810728,9.109689748820939,8.336108370566551,8.362594178137762,10.881273350125172,0.0,11.860846436233404,11.777840130424647,8.653988056470428
1981-1990,10.436102138289241,12.902229740887206,11.49249032023769,9.354208326901823,10.448379340668385,10.21341227787682,8.882237082659271,11.860846436233404,0.0,8.940470980550371,9.637804536326362
1991-2000,9.088861898006618,11.775511664394216,9.92523701005171,7.864335095234024,8.942167136063407,10.187489138729003,9.957020704923963,11.777840130424647,8.940470980550371,0.0,7.994827726620947
2011-2018,5.7081285807225575,8.145597906448597,7.228895700859161,4.5092174072001345,4.994639905357762,7.215493030078314,8.52995895779732,8.653988056470428,9.637804536326362,7.994827726620947,0.0
