synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s42158,atmosphäre,1901-1910,1911-1920,0.025731862026117457,0.12294393886857137
s42158,atmosphäre,1911-1920,1921-1930,0.055169550591824185,2.125900065982512
s42158,atmosphäre,1921-1930,1931-1940,0.012627008973659195,0.10409486183375376
s42158,atmosphäre,1931-1940,1941-1950,0.03643117833981088,0.12977162203347148
s42158,atmosphäre,1941-1950,1951-1960,0.01437066361512854,0.5670219463780618
s42158,atmosphäre,1951-1960,1961-1970,0.005928850813346636,0.15479423344799487
s42158,atmosphäre,1961-1970,1971-1980,0.020660826471846583,0.3017382015417865
s42158,atmosphäre,1971-1980,1981-1990,0.032948086452331264,0.10448745274511087
s42158,atmosphäre,1981-1990,1991-2000,0.03600092679238467,0.25408803115306944
s42158,atmosphäre,1991-2000,2001-2010,0.010910763903208066,0.8471330805464822
