,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,1.7116077274891344,2.005011401321321,2.3415184491528924,2.0514703063189725,2.3411287528247544,2.0269201213556176,2.0518781546751566,2.204802391514636,2.421643730536521,2.4002946738794098,2.235521386027554
1911-1920,1.7116077274891344,0.0,1.5738857116732317,2.6786549250031366,2.15922728186851,2.5050743829670443,2.073612927396331,1.9721864647490615,2.3224420336301335,2.3853221089059096,2.072684262751078,2.0886350823415105
1921-1930,2.005011401321321,1.5738857116732317,0.0,3.0766676252212735,2.3920583334728964,2.5749604112899527,2.253902176781508,2.1217678205903607,2.323082926359892,2.2893263993213875,1.8942221574367428,2.111109896134632
1931-1940,2.3415184491528924,2.6786549250031366,3.0766676252212735,0.0,1.5563125516335659,1.7371110260821196,1.6296925322700366,1.8619859946767523,1.5569125602020037,2.424571957862971,2.6976032534922814,1.9539043406410674
1941-1950,2.0514703063189725,2.15922728186851,2.3920583334728964,1.5563125516335659,0.0,1.398923909291172,1.7752108334426566,1.4027625400770873,1.6232752370335828,2.5798351903541445,2.4209978051006424,1.7947631056604694
1951-1960,2.3411287528247544,2.5050743829670443,2.5749604112899527,1.7371110260821196,1.398923909291172,0.0,1.541232276908655,1.135580762667155,1.4492277787816168,2.301959222404452,2.1310560694834186,1.529059114292193
1961-1970,2.0269201213556176,2.073612927396331,2.253902176781508,1.6296925322700366,1.7752108334426566,1.541232276908655,0.0,1.361135364249478,1.0009574131120005,1.5210615307379374,1.6836769518130783,1.0800292058240253
1971-1980,2.0518781546751566,1.9721864647490615,2.1217678205903607,1.8619859946767523,1.4027625400770873,1.135580762667155,1.361135364249478,0.0,1.3697591708689203,2.2072310808006343,1.993894221683301,1.440345767263281
1981-1990,2.204802391514636,2.3224420336301335,2.323082926359892,1.5569125602020037,1.6232752370335828,1.4492277787816168,1.0009574131120005,1.3697591708689203,0.0,1.671472187963655,1.8569178113410383,1.061719190443324
1991-2000,2.421643730536521,2.3853221089059096,2.2893263993213875,2.424571957862971,2.5798351903541445,2.301959222404452,1.5210615307379374,2.2072310808006343,1.671472187963655,0.0,1.1891057762123676,1.3656841788263951
2001-2010,2.4002946738794098,2.072684262751078,1.8942221574367428,2.6976032534922814,2.4209978051006424,2.1310560694834186,1.6836769518130783,1.993894221683301,1.8569178113410383,1.1891057762123676,0.0,1.3028115607238837
2011-2018,2.235521386027554,2.0886350823415105,2.111109896134632,1.9539043406410674,1.7947631056604694,1.529059114292193,1.0800292058240253,1.440345767263281,1.061719190443324,1.3656841788263951,1.3028115607238837,0.0
