synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s6399,bank,1901-1910,1911-1920,0.0038986251917205094,0.24308538238987087
s6399,bank,1911-1920,1921-1930,0.01143277533456836,0.4507777834532663
s6399,bank,1921-1930,1931-1940,0.052082702407686345,1.5474573855970366
s6399,bank,1931-1940,1941-1950,0.05118616610126844,0.6190928352020337
s6399,bank,1941-1950,1951-1960,0.04998412893377777,0.1165023159613253
s6399,bank,1951-1960,1961-1970,0.01727039532920426,0.21133563521405724
s6399,bank,1961-1970,1971-1980,0.016374982999262853,0.17250964429363472
s6399,bank,1971-1980,1981-1990,0.022723069395771536,0.9551649436715437
s6399,bank,1981-1990,1991-2000,0.08280574327702989,0.7132766685347296
s6399,bank,1991-2000,2001-2010,0.028833792855051048,1.852822508654391
